source	target	value	date	year
amphetamines	methylphenidate	1	2000-10-01	2000
amphetamines	caffeine	1	2000-10-01	2000
amphetamines	undefined	1	2000-09-01	2000
amphetamines	lorazepam	1	2000-06-01	2000
amphetamines	methamphetamine	1	2001-10-01	2001
amphetamines	caffeine	1	2002-03-01	2002
amphetamines	caffeine	1	2002-02-01	2002
amphetamines	anadenanthera colubrina	1	2002-10-01	2002
amphetamines	bupropion	1	2002-08-01	2002
amphetamines	cannabis	1	2002-05-01	2002
amphetamines	cannabis	1	2003-12-01	2003
amphetamines	cannabis	1	2003-12-01	2003
amphetamines	cannabis	1	2003-10-01	2003
amphetamines	alcohol	1	2003-12-01	2003
amphetamines	alcohol	1	2003-10-01	2003
amphetamines	mdma	1	2003-12-01	2003
amphetamines	mdma	1	2003-02-01	2003
amphetamines	cocaine	1	2003-12-01	2003
amphetamines	bupropion	1	2003-12-01	2003
amphetamines	paroxetine	1	2003-12-01	2003
amphetamines	lsd	1	2003-10-01	2003
amphetamines	tobacco	1	2003-04-01	2003
amphetamines	cannabis	1	2004-11-01	2004
amphetamines	cannabis	1	2004-11-01	2004
amphetamines	cannabis	1	2004-08-01	2004
amphetamines	cannabis	1	2004-07-01	2004
amphetamines	cannabis	1	2004-07-01	2004
amphetamines	mdma	1	2004-12-01	2004
amphetamines	mdma	1	2004-10-01	2004
amphetamines	salvia divinorum	1	2004-12-01	2004
amphetamines	anadenanthera colubrina	1	2004-11-01	2004
amphetamines	methylphenidate	1	2004-01-01	2004
amphetamines	bupropion	1	2004-03-01	2004
amphetamines	lsd	1	2004-01-01	2004
amphetamines	undefined	1	2004-01-01	2004
amphetamines	cannabis	1	2005-12-01	2005
amphetamines	cannabis	1	2005-09-01	2005
amphetamines	cannabis	1	2005-09-01	2005
amphetamines	cannabis	1	2005-08-01	2005
amphetamines	cannabis	1	2005-04-01	2005
amphetamines	cannabis	1	2005-04-01	2005
amphetamines	mdma	1	2005-12-01	2005
amphetamines	mdma	1	2005-08-01	2005
amphetamines	mdma	1	2005-04-01	2005
amphetamines	mdma	1	2005-02-01	2005
amphetamines	alcohol	1	2005-12-01	2005
amphetamines	alcohol	1	2005-07-01	2005
amphetamines	alcohol	1	2005-04-01	2005
amphetamines	hydrocodone	1	2005-07-01	2005
amphetamines	hydrocodone	1	2005-07-01	2005
amphetamines	hydrocodone	1	2005-01-01	2005
amphetamines	bupropion	1	2005-07-01	2005
amphetamines	bupropion	1	2005-01-01	2005
amphetamines	bupropion	1	2005-01-01	2005
amphetamines	oral	1	2005-12-01	2005
amphetamines	oral	1	2005-09-01	2005
amphetamines	fluoxetine	1	2005-08-01	2005
amphetamines	fluoxetine	1	2005-01-01	2005
amphetamines	methylphenidate	1	2005-12-01	2005
amphetamines	methylphenidate	1	2005-01-01	2005
amphetamines	salvia divinorum	1	2005-09-01	2005
amphetamines	salvia divinorum	1	2005-01-01	2005
amphetamines	tobacco	1	2005-12-01	2005
amphetamines	tobacco	1	2005-12-01	2005
amphetamines	undefined	1	2005-09-01	2005
amphetamines	undefined	1	2005-03-01	2005
amphetamines	caffeine	1	2005-12-01	2005
amphetamines	paroxetine	1	2005-12-01	2005
amphetamines	caffeine	1	2006-10-01	2006
amphetamines	caffeine	1	2006-08-01	2006
amphetamines	caffeine	1	2006-07-01	2006
amphetamines	caffeine	1	2006-03-01	2006
amphetamines	cannabis	1	2006-12-01	2006
amphetamines	cannabis	1	2006-05-01	2006
amphetamines	cannabis	1	2006-05-01	2006
amphetamines	tobacco	1	2006-06-01	2006
amphetamines	tobacco	1	2006-06-01	2006
amphetamines	methylphenidate	1	2006-06-01	2006
amphetamines	methylphenidate	1	2006-04-01	2006
amphetamines	paroxetine	1	2006-06-01	2006
amphetamines	paroxetine	1	2006-03-01	2006
amphetamines	oral	1	2006-04-01	2006
amphetamines	oral	1	2006-03-01	2006
amphetamines	escitalopram	1	2006-06-01	2006
amphetamines	tryptophan	1	2006-10-01	2006
amphetamines	fluoxetine	1	2006-06-01	2006
amphetamines	bupropion	1	2006-06-01	2006
amphetamines	alcohol	1	2006-02-01	2006
amphetamines	mdma	1	2006-01-01	2006
amphetamines	cannabis	1	2007-12-01	2007
amphetamines	cannabis	1	2007-11-01	2007
amphetamines	cannabis	1	2007-11-01	2007
amphetamines	cannabis	1	2007-11-01	2007
amphetamines	cannabis	1	2007-10-01	2007
amphetamines	cannabis	1	2007-10-01	2007
amphetamines	cannabis	1	2007-10-01	2007
amphetamines	cannabis	1	2007-10-01	2007
amphetamines	cannabis	1	2007-09-01	2007
amphetamines	cannabis	1	2007-09-01	2007
amphetamines	cannabis	1	2007-08-01	2007
amphetamines	cannabis	1	2007-08-01	2007
amphetamines	cannabis	1	2007-08-01	2007
amphetamines	cannabis	1	2007-07-01	2007
amphetamines	cannabis	1	2007-06-01	2007
amphetamines	cannabis	1	2007-06-01	2007
amphetamines	cannabis	1	2007-05-01	2007
amphetamines	cannabis	1	2007-05-01	2007
amphetamines	cannabis	1	2007-04-01	2007
amphetamines	cannabis	1	2007-03-01	2007
amphetamines	cannabis	1	2007-02-01	2007
amphetamines	alcohol	1	2007-11-01	2007
amphetamines	alcohol	1	2007-10-01	2007
amphetamines	alcohol	1	2007-09-01	2007
amphetamines	alcohol	1	2007-08-01	2007
amphetamines	alcohol	1	2007-07-01	2007
amphetamines	alcohol	1	2007-06-01	2007
amphetamines	alcohol	1	2007-03-01	2007
amphetamines	alcohol	1	2007-03-01	2007
amphetamines	alcohol	1	2007-03-01	2007
amphetamines	oxycodone	1	2007-12-01	2007
amphetamines	oxycodone	1	2007-11-01	2007
amphetamines	oxycodone	1	2007-09-01	2007
amphetamines	oxycodone	1	2007-08-01	2007
amphetamines	oxycodone	1	2007-08-01	2007
amphetamines	oxycodone	1	2007-06-01	2007
amphetamines	oxycodone	1	2007-02-01	2007
amphetamines	methylphenidate	1	2007-11-01	2007
amphetamines	methylphenidate	1	2007-11-01	2007
amphetamines	methylphenidate	1	2007-11-01	2007
amphetamines	methylphenidate	1	2007-08-01	2007
amphetamines	methylphenidate	1	2007-07-01	2007
amphetamines	methylphenidate	1	2007-07-01	2007
amphetamines	methylphenidate	1	2007-03-01	2007
amphetamines	cocaine	1	2007-11-01	2007
