source	target	value	date	year
cocaine	crack	1	2000-06-01	2000
cocaine	crack	1	2000-06-01	2000
cocaine	methamphetamine	1	2000-07-01	2000
cocaine	lsd	1	2001-12-01	2001
cocaine	mdma	1	2001-12-01	2001
cocaine	mdma	1	2002-11-01	2002
cocaine	mdma	1	2002-01-01	2002
cocaine	tobacco	1	2002-10-01	2002
cocaine	5-meo-dipt	1	2002-07-01	2002
cocaine	heroin	1	2002-07-01	2002
cocaine	crack	1	2002-07-01	2002
cocaine	methamphetamine	1	2002-06-01	2002
cocaine	alprazolam	1	2002-01-01	2002
cocaine	alcohol	1	2003-12-01	2003
cocaine	alcohol	1	2003-04-01	2003
cocaine	alcohol	1	2003-02-01	2003
cocaine	mdma	1	2003-12-01	2003
cocaine	mdma	1	2003-08-01	2003
cocaine	mdma	1	2003-06-01	2003
cocaine	cannabis	1	2003-12-01	2003
cocaine	cannabis	1	2003-06-01	2003
cocaine	cannabis	1	2003-05-01	2003
cocaine	mushrooms	1	2003-07-01	2003
cocaine	mushrooms	1	2003-06-01	2003
cocaine	methamphetamine	1	2003-11-01	2003
cocaine	methylphenidate	1	2003-11-01	2003
cocaine	amphetamines	1	2003-12-01	2003
cocaine	bupropion	1	2003-12-01	2003
cocaine	5-meo-dipt	1	2003-02-01	2003
cocaine	heroin	1	2003-02-01	2003
cocaine	lsd	1	2003-02-01	2003
cocaine	cannabis	1	2004-10-01	2004
cocaine	cannabis	1	2004-07-01	2004
cocaine	cannabis	1	2004-04-01	2004
cocaine	cannabis	1	2004-02-01	2004
cocaine	alcohol	1	2004-10-01	2004
cocaine	alcohol	1	2004-07-01	2004
cocaine	alcohol	1	2004-02-01	2004
cocaine	mushrooms	1	2004-10-01	2004
cocaine	mushrooms	1	2004-09-01	2004
cocaine	5-meo-amt	1	2004-07-01	2004
cocaine	5-meo-amt	1	2004-02-01	2004
cocaine	5-meo-dipt	1	2004-07-01	2004
cocaine	bupropion	1	2004-10-01	2004
cocaine	tobacco	1	2004-07-01	2004
cocaine	crack	1	2004-01-01	2004
cocaine	cannabis	1	2005-07-01	2005
cocaine	cannabis	1	2005-04-01	2005
cocaine	cannabis	1	2005-04-01	2005
cocaine	tobacco	1	2005-11-01	2005
cocaine	tobacco	1	2005-10-01	2005
cocaine	tobacco	1	2005-02-01	2005
cocaine	alcohol	1	2005-10-01	2005
cocaine	alcohol	1	2005-07-01	2005
cocaine	alcohol	1	2005-04-01	2005
cocaine	mushrooms	1	2005-10-01	2005
cocaine	mushrooms	1	2005-07-01	2005
cocaine	heroin	1	2005-10-01	2005
cocaine	heroin	1	2005-07-01	2005
cocaine	lsd	1	2005-10-01	2005
cocaine	5-meo-amt	1	2005-05-01	2005
cocaine	oxycodone	1	2005-01-01	2005
cocaine	diazepam	1	2005-01-01	2005
cocaine	cannabis	1	2006-08-01	2006
cocaine	cannabis	1	2006-08-01	2006
cocaine	cannabis	1	2006-06-01	2006
cocaine	cannabis	1	2006-06-01	2006
cocaine	cannabis	1	2006-06-01	2006
cocaine	cannabis	1	2006-06-01	2006
cocaine	cannabis	1	2006-03-01	2006
cocaine	cannabis	1	2006-03-01	2006
cocaine	cannabis	1	2006-03-01	2006
cocaine	cannabis	1	2006-03-01	2006
cocaine	cannabis	1	2006-01-01	2006
cocaine	alcohol	1	2006-08-01	2006
cocaine	alcohol	1	2006-06-01	2006
cocaine	alcohol	1	2006-05-01	2006
cocaine	alcohol	1	2006-03-01	2006
cocaine	nitrous oxide	1	2006-03-01	2006
cocaine	nitrous oxide	1	2006-01-01	2006
cocaine	diazepam	1	2006-06-01	2006
cocaine	diazepam	1	2006-06-01	2006
cocaine	methamphetamine	1	2006-06-01	2006
cocaine	methamphetamine	1	2006-06-01	2006
cocaine	tobacco	1	2006-03-01	2006
cocaine	tobacco	1	2006-01-01	2006
cocaine	venlafaxine	1	2006-09-01	2006
cocaine	mdma	1	2006-08-01	2006
cocaine	lsd	1	2006-04-01	2006
cocaine	heroin	1	2006-03-01	2006
cocaine	alprazolam	1	2006-03-01	2006
cocaine	cannabis	1	2007-12-01	2007
cocaine	cannabis	1	2007-12-01	2007
cocaine	cannabis	1	2007-11-01	2007
cocaine	cannabis	1	2007-11-01	2007
cocaine	cannabis	1	2007-11-01	2007
cocaine	cannabis	1	2007-11-01	2007
cocaine	cannabis	1	2007-10-01	2007
cocaine	cannabis	1	2007-08-01	2007
cocaine	cannabis	1	2007-08-01	2007
cocaine	cannabis	1	2007-08-01	2007
cocaine	cannabis	1	2007-08-01	2007
cocaine	cannabis	1	2007-07-01	2007
cocaine	cannabis	1	2007-07-01	2007
cocaine	cannabis	1	2007-07-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-06-01	2007
cocaine	cannabis	1	2007-05-01	2007
cocaine	cannabis	1	2007-05-01	2007
cocaine	cannabis	1	2007-05-01	2007
cocaine	cannabis	1	2007-05-01	2007
cocaine	cannabis	1	2007-04-01	2007
cocaine	cannabis	1	2007-02-01	2007
cocaine	cannabis	1	2007-02-01	2007
cocaine	cannabis	1	2007-01-01	2007
cocaine	alcohol	1	2007-12-01	2007
cocaine	alcohol	1	2007-12-01	2007
cocaine	alcohol	1	2007-12-01	2007
cocaine	alcohol	1	2007-11-01	2007
cocaine	alcohol	1	2007-11-01	2007
cocaine	alcohol	1	2007-11-01	2007
cocaine	alcohol	1	2007-11-01	2007
cocaine	alcohol	1	2007-11-01	2007
cocaine	alcohol	1	2007-10-01	2007
cocaine	alcohol	1	2007-08-01	2007
cocaine	alcohol	1	2007-07-01	2007
cocaine	alcohol	1	2007-07-01	2007
cocaine	alcohol	1	2007-07-01	2007
cocaine	alcohol	1	2007-07-01	2007
cocaine	alcohol	1	2007-07-01	2007
cocaine	alcohol	1	2007-06-01	2007
cocaine	alcohol	1	2007-06-01	2007
cocaine	alcohol	1	2007-06-01	2007
cocaine	alcohol	1	2007-05-01	2007
cocaine	alcohol	1	2007-05-01	2007
cocaine	alcohol	1	2007-05-01	2007
cocaine	alcohol	1	2007-01-01	2007
cocaine	amphetamines	1	2007-11-01	2007
cocaine	amphetamines	1	2007-07-01	2007
cocaine	amphetamines	1	2007-07-01	2007
cocaine	amphetamines	1	2007-05-01	2007
cocaine	amphetamines	1	2007-03-01	2007
cocaine	amphetamines	1	2007-02-01	2007
cocaine	heroin	1	2007-11-01	2007
cocaine	heroin	1	2007-07-01	2007
cocaine	heroin	1	2007-06-01	2007
cocaine	heroin	1	2007-05-01	2007
cocaine	heroin	1	2007-05-01	2007
cocaine	mdma	1	2007-11-01	2007
cocaine	mdma	1	2007-08-01	2007
cocaine	mdma	1	2007-07-01	2007
cocaine	mdma	1	2007-06-01	2007
cocaine	mdma	1	2007-06-01	2007
cocaine	methamphetamine	1	2007-11-01	2007
cocaine	methamphetamine	1	2007-08-01	2007
cocaine	methamphetamine	1	2007-07-01	2007
cocaine	methamphetamine	1	2007-07-01	2007
cocaine	methamphetamine	1	2007-06-01	2007
cocaine	oxycodone	1	2007-10-01	2007
cocaine	oxycodone	1	2007-09-01	2007
cocaine	oxycodone	1	2007-08-01	2007
cocaine	oxycodone	1	2007-07-01	2007
cocaine	oxycodone	1	2007-02-01	2007
cocaine	crack	1	2007-12-01	2007
cocaine	crack	1	2007-08-01	2007
cocaine	crack	1	2007-07-01	2007
cocaine	crack	1	2007-07-01	2007
cocaine	methylphenidate	1	2007-12-01	2007
cocaine	methylphenidate	1	2007-11-01	2007
cocaine	methylphenidate	1	2007-07-01	2007
cocaine	various	1	2007-12-01	2007
cocaine	various	1	2007-11-01	2007
cocaine	various	1	2007-11-01	2007
cocaine	lsd	1	2007-06-01	2007
cocaine	lsd	1	2007-06-01	2007
cocaine	lsd	1	2007-03-01	2007
cocaine	diazepam	1	2007-10-01	2007
cocaine	diazepam	1	2007-06-01	2007
cocaine	tobacco	1	2007-11-01	2007
cocaine	tobacco	1	2007-08-01	2007
cocaine	alprazolam	1	2007-12-01	2007
cocaine	bupropion	1	2007-07-01	2007
cocaine	mushrooms	1	2007-11-01	2007
cocaine	5-meo-dipt	1	2007-05-01	2007
cocaine	venlafaxine	1	2007-07-01	2007
cocaine	cannabis	1	2008-12-01	2008
cocaine	cannabis	1	2008-12-01	2008
cocaine	cannabis	1	2008-09-01	2008
cocaine	cannabis	1	2008-09-01	2008
cocaine	cannabis	1	2008-09-01	2008
cocaine	cannabis	1	2008-09-01	2008
cocaine	cannabis	1	2008-08-01	2008
