source	target	value	date	year
dxm	cannabis	1	2000-11-01	2000
dxm	alcohol	1	2000-11-01	2000
dxm	lsd	1	2000-09-01	2000
dxm	caffeine	1	2000-09-01	2000
dxm	ketamine	1	2000-08-01	2000
dxm	smoked	1	2000-06-01	2000
dxm	2c-b	1	2000-06-01	2000
dxm	mdma	1	2000-06-01	2000
dxm	nitrous oxide	1	2000-06-01	2000
dxm	cannabis	1	2001-12-01	2001
dxm	cannabis	1	2001-12-01	2001
dxm	cannabis	1	2001-08-01	2001
dxm	cannabis	1	2001-04-01	2001
dxm	lsd	1	2001-12-01	2001
dxm	lsd	1	2001-07-01	2001
dxm	lsd	1	2001-04-01	2001
dxm	alcohol	1	2001-12-01	2001
dxm	alcohol	1	2001-08-01	2001
dxm	alcohol	1	2001-07-01	2001
dxm	diazepam	1	2001-12-01	2001
dxm	salvia divinorum	1	2001-12-01	2001
dxm	chlorpheniramine maleate	1	2001-12-01	2001
dxm	pseudoephedrine	1	2001-10-01	2001
dxm	dimenhydrinate	1	2001-09-01	2001
dxm	diphenhydramine	1	2001-09-01	2001
dxm	mdma	1	2001-08-01	2001
dxm	cannabis	1	2002-11-01	2002
dxm	cannabis	1	2002-07-01	2002
dxm	cannabis	1	2002-07-01	2002
dxm	cannabis	1	2002-05-01	2002
dxm	cannabis	1	2002-03-01	2002
dxm	cannabis	1	2002-03-01	2002
dxm	cannabis	1	2002-03-01	2002
dxm	cannabis	1	2002-02-01	2002
dxm	cannabis	1	2002-02-01	2002
dxm	cannabis	1	2002-02-01	2002
dxm	cannabis	1	2002-02-01	2002
dxm	cannabis	1	2002-02-01	2002
dxm	cannabis	1	2002-01-01	2002
dxm	cannabis	1	2002-01-01	2002
dxm	salvia divinorum	1	2002-08-01	2002
dxm	salvia divinorum	1	2002-07-01	2002
dxm	salvia divinorum	1	2002-03-01	2002
dxm	salvia divinorum	1	2002-01-01	2002
dxm	dimenhydrinate	1	2002-03-01	2002
dxm	dimenhydrinate	1	2002-01-01	2002
dxm	dimenhydrinate	1	2002-01-01	2002
dxm	chlorpheniramine maleate	1	2002-11-01	2002
dxm	chlorpheniramine maleate	1	2002-04-01	2002
dxm	chlorpheniramine maleate	1	2002-02-01	2002
dxm	bupropion	1	2002-05-01	2002
dxm	bupropion	1	2002-03-01	2002
dxm	lsd	1	2002-02-01	2002
dxm	lsd	1	2002-02-01	2002
dxm	mushrooms	1	2002-07-01	2002
dxm	mushrooms	1	2002-03-01	2002
dxm	ketamine	1	2002-07-01	2002
dxm	ketamine	1	2002-01-01	2002
dxm	5-meo-dipt	1	2002-12-01	2002
dxm	5-meo-dipt	1	2002-02-01	2002
dxm	tobacco	1	2002-02-01	2002
dxm	paroxetine	1	2002-10-01	2002
dxm	alcohol	1	2002-02-01	2002
dxm	pseudoephedrine	1	2002-01-01	2002
dxm	cannabis	1	2003-08-01	2003
dxm	cannabis	1	2003-07-01	2003
dxm	cannabis	1	2003-07-01	2003
dxm	cannabis	1	2003-06-01	2003
dxm	cannabis	1	2003-06-01	2003
dxm	cannabis	1	2003-03-01	2003
dxm	cannabis	1	2003-02-01	2003
dxm	cannabis	1	2003-02-01	2003
dxm	chlorpheniramine maleate	1	2003-09-01	2003
dxm	chlorpheniramine maleate	1	2003-08-01	2003
dxm	chlorpheniramine maleate	1	2003-07-01	2003
dxm	chlorpheniramine maleate	1	2003-06-01	2003
dxm	chlorpheniramine maleate	1	2003-05-01	2003
dxm	chlorpheniramine maleate	1	2003-02-01	2003
dxm	ketamine	1	2003-07-01	2003
dxm	lecithin	1	2003-09-01	2003
dxm	mushrooms	1	2003-07-01	2003
dxm	bupropion	1	2003-12-01	2003
dxm	mdma	1	2003-04-01	2003
dxm	alcohol	1	2003-04-01	2003
dxm	paroxetine	1	2003-02-01	2003
dxm	chlorpheniramine maleate	1	2004-09-01	2004
dxm	chlorpheniramine maleate	1	2004-08-01	2004
dxm	chlorpheniramine maleate	1	2004-08-01	2004
dxm	chlorpheniramine maleate	1	2004-07-01	2004
dxm	chlorpheniramine maleate	1	2004-05-01	2004
dxm	chlorpheniramine maleate	1	2004-01-01	2004
dxm	alcohol	1	2004-11-01	2004
dxm	alcohol	1	2004-05-01	2004
dxm	alcohol	1	2004-05-01	2004
dxm	alcohol	1	2004-03-01	2004
dxm	cannabis	1	2004-11-01	2004
dxm	cannabis	1	2004-06-01	2004
dxm	cannabis	1	2004-05-01	2004
dxm	diphenhydramine	1	2004-12-01	2004
dxm	diphenhydramine	1	2004-05-01	2004
dxm	tobacco	1	2004-09-01	2004
dxm	tobacco	1	2004-03-01	2004
dxm	2c-b	1	2004-11-01	2004
dxm	2c-i	1	2004-11-01	2004
dxm	5-meo-dipt	1	2004-11-01	2004
dxm	various	1	2004-12-01	2004
dxm	oral	1	2004-05-01	2004
dxm	salvia divinorum	1	2004-03-01	2004
dxm	pseudoephedrine	1	2004-03-01	2004
dxm	dimenhydrinate	1	2004-03-01	2004
dxm	chlorpheniramine maleate	1	2005-09-01	2005
dxm	chlorpheniramine maleate	1	2005-07-01	2005
dxm	chlorpheniramine maleate	1	2005-01-01	2005
dxm	tobacco	1	2005-12-01	2005
dxm	2c-i	1	2005-12-01	2005
dxm	alcohol	1	2005-07-01	2005
dxm	paroxetine	1	2005-06-01	2005
dxm	cannabis	1	2005-12-01	2005
dxm	diazepam	1	2005-02-01	2005
dxm	lecithin	1	2005-02-01	2005
dxm	nitrous oxide	1	2005-02-01	2005
dxm	pseudoephedrine	1	2005-01-01	2005
dxm	cannabis	1	2006-12-01	2006
dxm	cannabis	1	2006-12-01	2006
dxm	cannabis	1	2006-06-01	2006
dxm	cannabis	1	2006-03-01	2006
dxm	chlorpheniramine maleate	1	2006-08-01	2006
dxm	chlorpheniramine maleate	1	2006-06-01	2006
dxm	chlorpheniramine maleate	1	2006-03-01	2006
dxm	oral	1	2006-10-01	2006
dxm	oral	1	2006-08-01	2006
dxm	lsd	1	2006-09-01	2006
dxm	lsd	1	2006-06-01	2006
dxm	5-meo-dipt	1	2006-09-01	2006
dxm	paroxetine	1	2006-03-01	2006
dxm	bupropion	1	2006-06-01	2006
dxm	dimenhydrinate	1	2006-12-01	2006
dxm	alcohol	1	2006-06-01	2006
dxm	caffeine	1	2006-06-01	2006
dxm	tobacco	1	2006-05-01	2006
dxm	pseudoephedrine	1	2006-03-01	2006
dxm	mushrooms	1	2006-06-01	2006
dxm	cannabis	1	2007-12-01	2007
dxm	cannabis	1	2007-07-01	2007
dxm	cannabis	1	2007-06-01	2007
dxm	cannabis	1	2007-04-01	2007
dxm	cannabis	1	2007-01-01	2007
dxm	alcohol	1	2007-08-01	2007
dxm	alcohol	1	2007-07-01	2007
dxm	alcohol	1	2007-04-01	2007
dxm	caffeine	1	2007-12-01	2007
dxm	caffeine	1	2007-12-01	2007
dxm	caffeine	1	2007-08-01	2007
dxm	bupropion	1	2007-12-01	2007
dxm	bupropion	1	2007-12-01	2007
dxm	various	1	2007-09-01	2007
dxm	various	1	2007-09-01	2007
dxm	chlorpheniramine maleate	1	2007-08-01	2007
dxm	chlorpheniramine maleate	1	2007-06-01	2007
dxm	smoked	1	2007-12-01	2007
dxm	smoked	1	2007-11-01	2007
dxm	mushrooms	1	2007-06-01	2007
dxm	mushrooms	1	2007-05-01	2007
dxm	diphenhydramine	1	2007-06-01	2007
dxm	diphenhydramine	1	2007-05-01	2007
dxm	lsd	1	2007-06-01	2007
dxm	lsd	1	2007-06-01	2007
dxm	oral	1	2007-06-01	2007
dxm	oral	1	2007-06-01	2007
dxm	oxycodone	1	2007-07-01	2007
dxm	nitrous oxide	1	2007-08-01	2007
dxm	mdma	1	2007-12-01	2007
dxm	diazepam	1	2007-07-01	2007
dxm	dimenhydrinate	1	2007-12-01	2007
dxm	salvia divinorum	1	2007-11-01	2007
dxm	tobacco	1	2007-04-01	2007
dxm	pseudoephedrine	1	2007-03-01	2007
dxm	cannabis	1	2008-12-01	2008
dxm	cannabis	1	2008-12-01	2008
dxm	cannabis	1	2008-12-01	2008
dxm	cannabis	1	2008-11-01	2008
dxm	cannabis	1	2008-09-01	2008
dxm	cannabis	1	2008-09-01	2008
dxm	cannabis	1	2008-07-01	2008
dxm	cannabis	1	2008-07-01	2008
dxm	cannabis	1	2008-07-01	2008
dxm	cannabis	1	2008-06-01	2008
dxm	cannabis	1	2008-03-01	2008
dxm	cannabis	1	2008-03-01	2008
dxm	cannabis	1	2008-02-01	2008
dxm	cannabis	1	2008-01-01	2008
dxm	cannabis	1	2008-01-01	2008
dxm	cannabis	1	2008-01-01	2008
dxm	cannabis	1	2008-01-01	2008
dxm	cannabis	1	2008-01-01	2008
dxm	alcohol	1	2008-12-01	2008
dxm	alcohol	1	2008-12-01	2008
dxm	alcohol	1	2008-12-01	2008
dxm	alcohol	1	2008-03-01	2008
dxm	alcohol	1	2008-03-01	2008
dxm	alcohol	1	2008-01-01	2008
dxm	mushrooms	1	2008-12-01	2008
dxm	mushrooms	1	2008-07-01	2008
dxm	mushrooms	1	2008-07-01	2008
dxm	mushrooms	1	2008-01-01	2008
dxm	diphenhydramine	1	2008-05-01	2008
dxm	diphenhydramine	1	2008-03-01	2008
dxm	diphenhydramine	1	2008-03-01	2008
dxm	bupropion	1	2008-12-01	2008
dxm	bupropion	1	2008-11-01	2008
dxm	bupropion	1	2008-01-01	2008
dxm	mdma	1	2008-04-01	2008
dxm	mdma	1	2008-01-01	2008
dxm	oxycodone	1	2008-12-01	2008
dxm	oxycodone	1	2008-01-01	2008
dxm	lsd	1	2008-01-01	2008
dxm	lsd	1	2008-01-01	2008
dxm	dimenhydrinate	1	2008-04-01	2008
dxm	dimenhydrinate	1	2008-01-01	2008
dxm	salvia divinorum	1	2008-12-01	2008
dxm	salvia divinorum	1	2008-05-01	2008
dxm	tobacco	1	2008-11-01	2008
dxm	tobacco	1	2008-07-01	2008
dxm	paroxetine	1	2008-09-01	2008
dxm	various	1	2008-09-01	2008
dxm	pseudoephedrine	1	2008-05-01	2008
dxm	chlorpheniramine maleate	1	2008-02-01	2008
dxm	diazepam	1	2008-01-01	2008
dxm	2c-i	1	2008-01-01	2008
dxm	cannabis	1	2009-12-01	2009
dxm	cannabis	1	2009-10-01	2009
dxm	cannabis	1	2009-05-01	2009
dxm	cannabis	1	2009-03-01	2009
dxm	cannabis	1	2009-01-01	2009
dxm	salvia divinorum	1	2009-12-01	2009
dxm	salvia divinorum	1	2009-10-01	2009
dxm	salvia divinorum	1	2009-03-01	2009
dxm	mushrooms	1	2009-10-01	2009
dxm	mushrooms	1	2009-08-01	2009
dxm	mushrooms	1	2009-03-01	2009
dxm	alcohol	1	2009-12-01	2009
dxm	alcohol	1	2009-03-01	2009
dxm	chlorpheniramine maleate	1	2009-07-01	2009
dxm	chlorpheniramine maleate	1	2009-05-01	2009
dxm	mdma	1	2009-10-01	2009
dxm	oral	1	2009-08-01	2009
dxm	nitrous oxide	1	2009-12-01	2009
dxm	lsd	1	2009-10-01	2009
dxm	tobacco	1	2009-06-01	2009
dxm	bupropion	1	2009-06-01	2009
dxm	diphenhydramine	1	2009-03-01	2009
dxm	dimenhydrinate	1	2009-03-01	2009
dxm	alcohol	1	2010-09-01	2010
dxm	alcohol	1	2010-08-01	2010
dxm	alcohol	1	2010-02-01	2010
dxm	cannabis	1	2010-09-01	2010
dxm	cannabis	1	2010-07-01	2010
dxm	cannabis	1	2010-02-01	2010
dxm	pseudoephedrine	1	2010-10-01	2010
dxm	nitrous oxide	1	2010-09-01	2010
dxm	various	1	2010-09-01	2010
dxm	doxylamine	1	2010-07-01	2010
dxm	mushrooms	1	2010-04-01	2010
dxm	cannabis	1	2011-12-01	2011
dxm	cannabis	1	2011-02-01	2011
dxm	cannabis	1	2011-02-01	2011
dxm	cannabis	1	2011-02-01	2011
dxm	chlorpheniramine maleate	1	2011-02-01	2011
dxm	chlorpheniramine maleate	1	2011-02-01	2011
dxm	chlorpheniramine maleate	1	2011-02-01	2011
dxm	diphenhydramine	1	2011-12-01	2011
dxm	alcohol	1	2011-02-01	2011
dxm	oral	1	2011-02-01	2011
dxm	bupropion	1	2011-01-01	2011
dxm	cannabis	1	2012-11-01	2012
dxm	cannabis	1	2012-08-01	2012
dxm	cannabis	1	2012-07-01	2012
dxm	tobacco	1	2012-11-01	2012
dxm	alcohol	1	2012-11-01	2012
dxm	doxylamine	1	2012-11-01	2012
dxm	diphenhydramine	1	2012-04-01	2012
dxm	oxycodone	1	2012-04-01	2012
dxm	chlorpheniramine maleate	1	2012-04-01	2012
