source	target	value	date	year
gbl	mdma	1	2000-08-01	2000
gbl	ghb	1	2000-08-01	2000
gbl	nitrous oxide	1	2001-10-01	2001
gbl	nitrous oxide	1	2002-08-01	2002
gbl	mdma	1	2002-06-01	2002
gbl	5-meo-dipt	1	2002-02-01	2002
gbl	cannabis	1	2003-02-01	2003
gbl	cannabis	1	2003-01-01	2003
gbl	ghb	1	2003-06-01	2003
gbl	tobacco	1	2003-05-01	2003
gbl	5-meo-dipt	1	2003-11-01	2003
gbl	nitrous oxide	1	2003-02-01	2003
gbl	5-meo-dipt	1	2004-07-01	2004
gbl	cannabis	1	2004-07-01	2004
gbl	mdma	1	2004-07-01	2004
gbl	ghb	1	2004-05-01	2004
gbl	ghb	1	2005-12-01	2005
gbl	ghb	1	2005-11-01	2005
gbl	cannabis	1	2005-12-01	2005
gbl	cannabis	1	2005-09-01	2005
gbl	nitrous oxide	1	2005-12-01	2005
gbl	ghb	1	2007-08-01	2007
gbl	ghb	1	2007-06-01	2007
gbl	tobacco	1	2007-07-01	2007
gbl	nitrous oxide	1	2007-10-01	2007
gbl	alcohol	1	2007-12-01	2007
gbl	cannabis	1	2009-10-01	2009
gbl	cannabis	1	2009-10-01	2009
gbl	cannabis	1	2009-10-01	2009
gbl	cannabis	1	2009-07-01	2009
gbl	mdma	1	2009-10-01	2009
gbl	mdma	1	2009-10-01	2009
gbl	alcohol	1	2009-07-01	2009
gbl	ghb	1	2013-06-01	2013
gbl	cannabis	1	2013-06-01	2013
