source	target	value	date	year
ghb	cannabis	1	2000-12-01	2000
ghb	cannabis	1	2000-11-01	2000
ghb	cannabis	1	2000-10-01	2000
ghb	2c-b	1	2000-06-01	2000
ghb	2c-b	1	2000-06-01	2000
ghb	piperazines	1	2000-10-01	2000
ghb	piperazines	1	2000-07-01	2000
ghb	dpt	1	2000-11-01	2000
ghb	alcohol	1	2000-10-01	2000
ghb	mdma	1	2000-08-01	2000
ghb	gbl	1	2000-08-01	2000
ghb	5-meo-dipt	1	2000-06-01	2000
ghb	ketamine	1	2000-11-01	2000
ghb	mdma	1	2001-08-01	2001
ghb	mdma	1	2001-07-01	2001
ghb	mdma	1	2001-02-01	2001
ghb	lsd	1	2001-08-01	2001
ghb	ketamine	1	2001-08-01	2001
ghb	dpt	1	2001-08-01	2001
ghb	5-meo-dipt	1	2001-07-01	2001
ghb	2c-b	1	2001-03-01	2001
ghb	piperazines	1	2001-02-01	2001
ghb	alcohol	1	2002-11-01	2002
ghb	alcohol	1	2002-11-01	2002
ghb	5-meo-dipt	1	2002-02-01	2002
ghb	5-meo-dipt	1	2002-02-01	2002
ghb	mdma	1	2002-06-01	2002
ghb	methamphetamine	1	2002-06-01	2002
ghb	ketamine	1	2002-06-01	2002
ghb	cannabis	1	2002-05-01	2002
ghb	cannabis	1	2003-07-01	2003
ghb	gbl	1	2003-06-01	2003
ghb	lsd	1	2004-11-01	2004
ghb	dmae	1	2004-09-01	2004
ghb	vinpocetine	1	2004-09-01	2004
ghb	cocaine	1	2004-05-01	2004
ghb	alcohol	1	2004-05-01	2004
ghb	methamphetamine	1	2004-05-01	2004
ghb	mdma	1	2004-05-01	2004
ghb	gbl	1	2004-05-01	2004
ghb	2c-b	1	2004-01-01	2004
ghb	cannabis	1	2004-01-01	2004
ghb	gbl	1	2005-12-01	2005
ghb	gbl	1	2005-11-01	2005
ghb	mdma	1	2005-12-01	2005
ghb	mdma	1	2005-07-01	2005
ghb	dmae	1	2005-12-01	2005
ghb	lsd	1	2005-12-01	2005
ghb	alcohol	1	2005-12-01	2005
ghb	vinpocetine	1	2005-12-01	2005
ghb	cannabis	1	2005-07-01	2005
ghb	alcohol	1	2006-05-01	2006
ghb	mdma	1	2006-05-01	2006
ghb	ketamine	1	2006-05-01	2006
ghb	cannabis	1	2006-05-01	2006
ghb	alcohol	1	2007-12-01	2007
ghb	alcohol	1	2007-06-01	2007
ghb	alcohol	1	2007-06-01	2007
ghb	alcohol	1	2007-05-01	2007
ghb	alcohol	1	2007-03-01	2007
ghb	mdma	1	2007-06-01	2007
ghb	mdma	1	2007-06-01	2007
ghb	mdma	1	2007-06-01	2007
ghb	cannabis	1	2007-08-01	2007
ghb	cannabis	1	2007-06-01	2007
ghb	cannabis	1	2007-06-01	2007
ghb	gbl	1	2007-08-01	2007
ghb	gbl	1	2007-06-01	2007
ghb	methamphetamine	1	2007-06-01	2007
ghb	cocaine	1	2007-06-01	2007
ghb	alcohol	1	2008-02-01	2008
ghb	alcohol	1	2008-01-01	2008
ghb	4-methylmethcathinone	1	2008-07-01	2008
ghb	cannabis	1	2008-01-01	2008
ghb	mdma	1	2008-01-01	2008
ghb	cocaine	1	2008-01-01	2008
ghb	alprazolam	1	2009-07-01	2009
ghb	4-methylmethcathinone	1	2010-09-01	2010
ghb	alprazolam	1	2010-09-01	2010
ghb	cannabis	1	2010-09-01	2010
ghb	alcohol	1	2011-09-01	2011
ghb	alcohol	1	2011-06-01	2011
ghb	alcohol	1	2011-03-01	2011
ghb	alcohol	1	2011-01-01	2011
ghb	mdma	1	2011-06-01	2011
ghb	alcohol	1	2012-01-01	2012
ghb	gbl	1	2013-06-01	2013
ghb	cannabis	1	2013-06-01	2013
