source	target	value	date	year
h.b. woodrose	dimenhydrinate	1	2001-12-01	2001
h.b. woodrose	syrian rue	1	2001-04-01	2001
h.b. woodrose	banisteriopsis caapi	1	2001-04-01	2001
h.b. woodrose	mushrooms	1	2001-04-01	2001
h.b. woodrose	cannabis	1	2002-02-01	2002
h.b. woodrose	cannabis	1	2002-02-01	2002
h.b. woodrose	cannabis	1	2002-02-01	2002
h.b. woodrose	cannabis	1	2002-01-01	2002
h.b. woodrose	nitrous oxide	1	2002-10-01	2002
h.b. woodrose	oral	1	2002-02-01	2002
h.b. woodrose	cannabis	1	2003-06-01	2003
h.b. woodrose	cannabis	1	2003-03-01	2003
h.b. woodrose	cannabis	1	2003-03-01	2003
h.b. woodrose	oral	1	2003-04-01	2003
h.b. woodrose	oral	1	2003-03-01	2003
h.b. woodrose	caffeine	1	2003-12-01	2003
h.b. woodrose	nitrous oxide	1	2003-12-01	2003
h.b. woodrose	cannabis	1	2004-12-01	2004
h.b. woodrose	cannabis	1	2004-10-01	2004
h.b. woodrose	cannabis	1	2004-03-01	2004
h.b. woodrose	cannabis	1	2004-01-01	2004
h.b. woodrose	cannabis	1	2004-01-01	2004
h.b. woodrose	tobacco	1	2004-12-01	2004
h.b. woodrose	tobacco	1	2004-12-01	2004
h.b. woodrose	syrian rue	1	2004-11-01	2004
h.b. woodrose	syrian rue	1	2004-03-01	2004
h.b. woodrose	oral	1	2004-12-01	2004
h.b. woodrose	kava	1	2004-03-01	2004
h.b. woodrose	salvia divinorum	1	2004-01-01	2004
h.b. woodrose	alcohol	1	2004-01-01	2004
h.b. woodrose	nitrous oxide	1	2004-01-01	2004
h.b. woodrose	cannabis	1	2005-11-01	2005
h.b. woodrose	cannabis	1	2005-10-01	2005
h.b. woodrose	cannabis	1	2005-04-01	2005
h.b. woodrose	alcohol	1	2005-10-01	2005
h.b. woodrose	tobacco	1	2005-10-01	2005
h.b. woodrose	salvia divinorum	1	2005-07-01	2005
h.b. woodrose	dimenhydrinate	1	2005-07-01	2005
h.b. woodrose	caffeine	1	2005-04-01	2005
h.b. woodrose	cannabis	1	2006-07-01	2006
h.b. woodrose	cannabis	1	2006-07-01	2006
h.b. woodrose	cannabis	1	2006-06-01	2006
h.b. woodrose	cannabis	1	2006-03-01	2006
h.b. woodrose	cannabis	1	2006-03-01	2006
h.b. woodrose	cannabis	1	2006-02-01	2006
h.b. woodrose	nitrous oxide	1	2006-07-01	2006
h.b. woodrose	salvia divinorum	1	2006-06-01	2006
h.b. woodrose	dimenhydrinate	1	2006-03-01	2006
h.b. woodrose	morning glory	1	2006-03-01	2006
h.b. woodrose	banisteriopsis caapi	1	2006-02-01	2006
h.b. woodrose	cannabis	1	2007-11-01	2007
h.b. woodrose	cannabis	1	2007-11-01	2007
h.b. woodrose	cannabis	1	2007-10-01	2007
h.b. woodrose	cannabis	1	2007-09-01	2007
h.b. woodrose	cannabis	1	2007-08-01	2007
h.b. woodrose	cannabis	1	2007-07-01	2007
h.b. woodrose	cannabis	1	2007-06-01	2007
h.b. woodrose	cannabis	1	2007-05-01	2007
h.b. woodrose	cannabis	1	2007-05-01	2007
h.b. woodrose	cannabis	1	2007-04-01	2007
h.b. woodrose	cannabis	1	2007-03-01	2007
