source	target	value	date	year
kratom	nitrous oxide	1	2001-10-01	2001
kratom	alcohol	1	2003-01-01	2003
kratom	cannabis	1	2004-08-01	2004
kratom	cannabis	1	2004-08-01	2004
kratom	cannabis	1	2004-08-01	2004
kratom	cannabis	1	2004-08-01	2004
kratom	cannabis	1	2004-03-01	2004
kratom	cannabis	1	2004-03-01	2004
kratom	cannabis	1	2004-01-01	2004
kratom	salvia divinorum	1	2004-12-01	2004
kratom	salvia divinorum	1	2004-08-01	2004
kratom	salvia divinorum	1	2004-03-01	2004
kratom	alcohol	1	2004-08-01	2004
kratom	alcohol	1	2004-08-01	2004
kratom	kava	1	2004-03-01	2004
kratom	tobacco	1	2004-10-01	2004
kratom	diazepam	1	2004-08-01	2004
kratom	nitrous oxide	1	2004-08-01	2004
kratom	cannabis	1	2005-12-01	2005
kratom	cannabis	1	2005-12-01	2005
kratom	cannabis	1	2005-10-01	2005
kratom	cannabis	1	2005-10-01	2005
kratom	cannabis	1	2005-10-01	2005
kratom	cannabis	1	2005-10-01	2005
kratom	cannabis	1	2005-10-01	2005
kratom	cannabis	1	2005-08-01	2005
kratom	cannabis	1	2005-07-01	2005
kratom	cannabis	1	2005-03-01	2005
kratom	diazepam	1	2005-12-01	2005
kratom	diazepam	1	2005-02-01	2005
kratom	caffeine	1	2005-10-01	2005
kratom	caffeine	1	2005-08-01	2005
kratom	piracetam	1	2005-12-01	2005
kratom	alcohol	1	2005-12-01	2005
kratom	2c-i	1	2005-10-01	2005
kratom	cannabis	1	2006-11-01	2006
kratom	cannabis	1	2006-10-01	2006
kratom	cannabis	1	2006-10-01	2006
kratom	cannabis	1	2006-07-01	2006
kratom	cannabis	1	2006-05-01	2006
kratom	cannabis	1	2006-03-01	2006
kratom	cannabis	1	2006-01-01	2006
kratom	alcohol	1	2006-07-01	2006
kratom	alcohol	1	2006-05-01	2006
kratom	alcohol	1	2006-04-01	2006
kratom	alcohol	1	2006-04-01	2006
kratom	salvia divinorum	1	2006-11-01	2006
kratom	piracetam	1	2006-05-01	2006
kratom	hydergine	1	2006-05-01	2006
kratom	tobacco	1	2006-03-01	2006
kratom	2c-i	1	2006-01-01	2006
kratom	cannabis	1	2007-10-01	2007
kratom	cannabis	1	2007-10-01	2007
kratom	cannabis	1	2007-09-01	2007
kratom	cannabis	1	2007-07-01	2007
kratom	cannabis	1	2007-07-01	2007
kratom	cannabis	1	2007-03-01	2007
kratom	cannabis	1	2007-03-01	2007
kratom	piracetam	1	2007-10-01	2007
kratom	piracetam	1	2007-07-01	2007
kratom	4-ho-mipt	1	2007-10-01	2007
kratom	smarts	1	2007-10-01	2007
kratom	poppies	1	2007-12-01	2007
kratom	2c-i	1	2007-10-01	2007
kratom	hydergine	1	2007-10-01	2007
kratom	kava	1	2007-02-01	2007
kratom	caffeine	1	2007-02-01	2007
kratom	tobacco	1	2008-09-01	2008
kratom	tobacco	1	2008-06-01	2008
kratom	cannabis	1	2008-06-01	2008
kratom	cannabis	1	2008-05-01	2008
kratom	caffeine	1	2008-05-01	2008
kratom	tea	1	2008-11-01	2008
kratom	amphetamines	1	2008-11-01	2008
kratom	nitrous oxide	1	2008-05-01	2008
kratom	salvia divinorum	1	2008-05-01	2008
kratom	2c-i	1	2008-03-01	2008
kratom	4-ho-mipt	1	2008-03-01	2008
kratom	4-methylmethcathinone	1	2008-02-01	2008
kratom	4-methylmethcathinone	1	2009-12-01	2009
kratom	poppies	1	2009-08-01	2009
kratom	tobacco	1	2009-07-01	2009
kratom	cannabis	1	2010-10-01	2010
kratom	tobacco	1	2010-10-01	2010
kratom	diazepam	1	2010-09-01	2010
kratom	salvia divinorum	1	2010-09-01	2010
kratom	tea	1	2011-08-01	2011
kratom	amphetamines	1	2011-07-01	2011
kratom	4-methylmethcathinone	1	2011-07-01	2011
kratom	smarts	1	2011-07-01	2011
kratom	tobacco	1	2011-07-01	2011
kratom	kava	1	2012-03-01	2012
kratom	cannabis	1	2012-01-01	2012
kratom	alcohol	1	2013-11-01	2013
kratom	cannabis	1	2014-01-01	2014
kratom	cannabis	1	2014-01-01	2014
kratom	cannabis	1	2014-01-01	2014
kratom	kava	1	2014-07-01	2014
