source	target	value	date	year
lsd	mdma	1	2000-10-01	2000
lsd	mdma	1	2000-10-01	2000
lsd	mdma	1	2000-10-01	2000
lsd	mdma	1	2000-10-01	2000
lsd	mdma	1	2000-10-01	2000
lsd	mdma	1	2000-09-01	2000
lsd	mdma	1	2000-07-01	2000
lsd	mdma	1	2000-07-01	2000
lsd	mdma	1	2000-06-01	2000
lsd	mdma	1	2000-06-01	2000
lsd	mdma	1	2000-06-01	2000
lsd	mdma	1	2000-06-01	2000
lsd	mdma	1	2000-06-01	2000
lsd	smoked	1	2000-06-01	2000
lsd	smoked	1	2000-06-01	2000
lsd	smoked	1	2000-06-01	2000
lsd	cannabis	1	2000-12-01	2000
lsd	cannabis	1	2000-06-01	2000
lsd	mushrooms	1	2000-10-01	2000
lsd	mushrooms	1	2000-06-01	2000
lsd	dxm	1	2000-09-01	2000
lsd	oral	1	2000-08-01	2000
lsd	mescaline	1	2000-06-01	2000
lsd	mdma	1	2001-12-01	2001
lsd	mdma	1	2001-12-01	2001
lsd	mdma	1	2001-12-01	2001
lsd	mdma	1	2001-10-01	2001
lsd	mdma	1	2001-08-01	2001
lsd	mdma	1	2001-08-01	2001
lsd	mdma	1	2001-07-01	2001
lsd	mdma	1	2001-07-01	2001
lsd	mdma	1	2001-06-01	2001
lsd	mdma	1	2001-03-01	2001
lsd	mdma	1	2001-02-01	2001
lsd	mdma	1	2001-02-01	2001
lsd	mdma	1	2001-02-01	2001
lsd	cannabis	1	2001-12-01	2001
lsd	cannabis	1	2001-12-01	2001
lsd	cannabis	1	2001-12-01	2001
lsd	cannabis	1	2001-12-01	2001
lsd	cannabis	1	2001-08-01	2001
lsd	cannabis	1	2001-07-01	2001
lsd	cannabis	1	2001-07-01	2001
lsd	cannabis	1	2001-06-01	2001
lsd	cannabis	1	2001-06-01	2001
lsd	cannabis	1	2001-04-01	2001
lsd	nitrous oxide	1	2001-12-01	2001
lsd	nitrous oxide	1	2001-12-01	2001
lsd	nitrous oxide	1	2001-12-01	2001
lsd	dxm	1	2001-12-01	2001
lsd	dxm	1	2001-07-01	2001
lsd	dxm	1	2001-04-01	2001
lsd	ketamine	1	2001-08-01	2001
lsd	ketamine	1	2001-07-01	2001
lsd	ketamine	1	2001-06-01	2001
lsd	salvia divinorum	1	2001-12-01	2001
lsd	salvia divinorum	1	2001-12-01	2001
lsd	alcohol	1	2001-12-01	2001
lsd	alcohol	1	2001-08-01	2001
lsd	oral	1	2001-11-01	2001
lsd	oral	1	2001-05-01	2001
lsd	mushrooms	1	2001-10-01	2001
lsd	mushrooms	1	2001-06-01	2001
lsd	5-meo-dipt	1	2001-12-01	2001
lsd	2c-i	1	2001-12-01	2001
lsd	cannabis	1	2002-10-01	2002
lsd	cannabis	1	2002-05-01	2002
lsd	cannabis	1	2002-05-01	2002
lsd	cannabis	1	2002-02-01	2002
