source	target	value	date	year
mdma	lsd	1	2000-10-01	2000
mdma	lsd	1	2000-10-01	2000
mdma	lsd	1	2000-10-01	2000
mdma	lsd	1	2000-10-01	2000
mdma	lsd	1	2000-10-01	2000
mdma	lsd	1	2000-09-01	2000
mdma	lsd	1	2000-07-01	2000
mdma	lsd	1	2000-07-01	2000
mdma	lsd	1	2000-06-01	2000
mdma	lsd	1	2000-06-01	2000
mdma	lsd	1	2000-06-01	2000
mdma	lsd	1	2000-06-01	2000
mdma	lsd	1	2000-06-01	2000
mdma	2c-t-7	1	2000-12-01	2000
mdma	2c-t-7	1	2000-12-01	2000
mdma	2c-t-7	1	2000-11-01	2000
mdma	2c-t-7	1	2000-10-01	2000
mdma	2c-t-7	1	2000-10-01	2000
mdma	2c-t-7	1	2000-09-01	2000
mdma	2c-t-7	1	2000-09-01	2000
mdma	ketamine	1	2000-10-01	2000
mdma	ketamine	1	2000-09-01	2000
mdma	ketamine	1	2000-09-01	2000
mdma	ketamine	1	2000-08-01	2000
mdma	ketamine	1	2000-06-01	2000
mdma	ketamine	1	2000-06-01	2000
mdma	mushrooms	1	2000-09-01	2000
mdma	mushrooms	1	2000-06-01	2000
mdma	mushrooms	1	2000-06-01	2000
mdma	mushrooms	1	2000-06-01	2000
mdma	mushrooms	1	2000-05-01	2000
mdma	2c-b	1	2000-10-01	2000
mdma	2c-b	1	2000-06-01	2000
mdma	2c-b	1	2000-06-01	2000
mdma	2c-b	1	2000-06-01	2000
mdma	2c-b	1	2000-06-01	2000
mdma	cannabis	1	2000-10-01	2000
mdma	cannabis	1	2000-09-01	2000
mdma	cannabis	1	2000-06-01	2000
mdma	nitrous oxide	1	2000-10-01	2000
mdma	nitrous oxide	1	2000-09-01	2000
mdma	ghb	1	2000-08-01	2000
mdma	oral	1	2000-10-01	2000
mdma	methamphetamine	1	2000-09-01	2000
mdma	5-meo-dipt	1	2000-09-01	2000
mdma	dmt	1	2000-06-01	2000
mdma	lsd	1	2001-12-01	2001
mdma	lsd	1	2001-12-01	2001
mdma	lsd	1	2001-12-01	2001
mdma	lsd	1	2001-10-01	2001
mdma	lsd	1	2001-08-01	2001
mdma	lsd	1	2001-08-01	2001
mdma	lsd	1	2001-07-01	2001
mdma	lsd	1	2001-07-01	2001
mdma	lsd	1	2001-06-01	2001
mdma	lsd	1	2001-03-01	2001
mdma	lsd	1	2001-02-01	2001
mdma	lsd	1	2001-02-01	2001
mdma	lsd	1	2001-02-01	2001
mdma	cannabis	1	2001-12-01	2001
mdma	cannabis	1	2001-12-01	2001
mdma	cannabis	1	2001-11-01	2001
mdma	cannabis	1	2001-09-01	2001
mdma	cannabis	1	2001-08-01	2001
mdma	cannabis	1	2001-08-01	2001
mdma	cannabis	1	2001-08-01	2001
mdma	cannabis	1	2001-07-01	2001
mdma	cannabis	1	2001-06-01	2001
mdma	cannabis	1	2001-05-01	2001
mdma	cannabis	1	2001-03-01	2001
mdma	mushrooms	1	2001-09-01	2001
mdma	mushrooms	1	2001-07-01	2001
mdma	mushrooms	1	2001-03-01	2001
mdma	mushrooms	1	2001-02-01	2001
mdma	mushrooms	1	2001-02-01	2001
mdma	alcohol	1	2001-11-01	2001
mdma	alcohol	1	2001-08-01	2001
mdma	alcohol	1	2001-08-01	2001
mdma	alcohol	1	2001-08-01	2001
mdma	piracetam	1	2001-12-01	2001
mdma	piracetam	1	2001-12-01	2001
mdma	piracetam	1	2001-01-01	2001
mdma	ketamine	1	2001-12-01	2001
mdma	ketamine	1	2001-06-01	2001
mdma	ketamine	1	2001-03-01	2001
mdma	tryptophan	1	2001-08-01	2001
mdma	tryptophan	1	2001-08-01	2001
mdma	tryptophan	1	2001-02-01	2001
mdma	5-meo-dipt	1	2001-12-01	2001
mdma	5-meo-dipt	1	2001-09-01	2001
mdma	5-meo-dipt	1	2001-03-01	2001
mdma	ghb	1	2001-08-01	2001
mdma	ghb	1	2001-07-01	2001
mdma	ghb	1	2001-02-01	2001
mdma	2c-t-7	1	2001-08-01	2001
mdma	2c-t-7	1	2001-05-01	2001
mdma	2c-t-7	1	2001-03-01	2001
mdma	nitrous oxide	1	2001-08-01	2001
mdma	nitrous oxide	1	2001-02-01	2001
mdma	2c-b	1	2001-02-01	2001
mdma	2c-b	1	2001-02-01	2001
mdma	cocaine	1	2001-12-01	2001
mdma	methamphetamine	1	2001-12-01	2001
mdma	tobacco	1	2001-05-01	2001
mdma	2c-t-7	1	2002-11-01	2002
mdma	2c-t-7	1	2002-11-01	2002
mdma	2c-t-7	1	2002-06-01	2002
mdma	2c-t-7	1	2002-05-01	2002
mdma	2c-t-7	1	2002-01-01	2002
mdma	oral	1	2002-12-01	2002
mdma	oral	1	2002-11-01	2002
mdma	oral	1	2002-10-01	2002
mdma	oral	1	2002-02-01	2002
mdma	nitrous oxide	1	2002-11-01	2002
mdma	nitrous oxide	1	2002-08-01	2002
mdma	nitrous oxide	1	2002-07-01	2002
mdma	nitrous oxide	1	2002-04-01	2002
mdma	lsd	1	2002-10-01	2002
mdma	lsd	1	2002-08-01	2002
mdma	lsd	1	2002-07-01	2002
mdma	lsd	1	2002-05-01	2002
mdma	mushrooms	1	2002-06-01	2002
mdma	mushrooms	1	2002-04-01	2002
mdma	mushrooms	1	2002-04-01	2002
mdma	mushrooms	1	2002-04-01	2002
mdma	cocaine	1	2002-11-01	2002
mdma	cocaine	1	2002-01-01	2002
mdma	methamphetamine	1	2002-08-01	2002
mdma	methamphetamine	1	2002-06-01	2002
mdma	cannabis	1	2002-11-01	2002
mdma	cannabis	1	2002-05-01	2002
mdma	alcohol	1	2002-11-01	2002
mdma	alcohol	1	2002-06-01	2002
mdma	ketamine	1	2002-06-01	2002
mdma	ketamine	1	2002-02-01	2002
mdma	undefined	1	2002-11-01	2002
mdma	undefined	1	2002-02-01	2002
mdma	ghb	1	2002-06-01	2002
mdma	5-meo-dipt	1	2002-05-01	2002
mdma	piracetam	1	2002-09-01	2002
mdma	2c-i	1	2002-05-01	2002
mdma	tryptophan	1	2002-05-01	2002
mdma	cannabis	1	2003-12-01	2003
mdma	cannabis	1	2003-12-01	2003
mdma	cannabis	1	2003-11-01	2003
mdma	cannabis	1	2003-11-01	2003
mdma	cannabis	1	2003-09-01	2003
mdma	cannabis	1	2003-08-01	2003
mdma	cannabis	1	2003-08-01	2003
mdma	cannabis	1	2003-06-01	2003
mdma	cannabis	1	2003-06-01	2003
mdma	cannabis	1	2003-06-01	2003
mdma	cannabis	1	2003-06-01	2003
mdma	cannabis	1	2003-05-01	2003
mdma	cannabis	1	2003-04-01	2003
mdma	cannabis	1	2003-04-01	2003
mdma	cannabis	1	2003-02-01	2003
mdma	cannabis	1	2003-01-01	2003
mdma	alcohol	1	2003-12-01	2003
mdma	alcohol	1	2003-12-01	2003
mdma	alcohol	1	2003-11-01	2003
mdma	alcohol	1	2003-09-01	2003
mdma	alcohol	1	2003-04-01	2003
mdma	alcohol	1	2003-02-01	2003
mdma	alcohol	1	2003-02-01	2003
mdma	5-meo-dipt	1	2003-12-01	2003
mdma	5-meo-dipt	1	2003-11-01	2003
mdma	5-meo-dipt	1	2003-11-01	2003
mdma	5-meo-dipt	1	2003-09-01	2003
mdma	5-meo-dipt	1	2003-06-01	2003
mdma	2c-b	1	2003-09-01	2003
mdma	2c-b	1	2003-08-01	2003
mdma	2c-b	1	2003-08-01	2003
mdma	2c-b	1	2003-06-01	2003
mdma	2c-b	1	2003-05-01	2003
mdma	vitamin c	1	2003-11-01	2003
mdma	vitamin c	1	2003-08-01	2003
mdma	vitamin c	1	2003-07-01	2003
mdma	vitamin c	1	2003-04-01	2003
mdma	vitamin c	1	2003-02-01	2003
mdma	mushrooms	1	2003-10-01	2003
mdma	mushrooms	1	2003-09-01	2003
mdma	mushrooms	1	2003-06-01	2003
mdma	mushrooms	1	2003-06-01	2003
mdma	mushrooms	1	2003-06-01	2003
mdma	lsd	1	2003-11-01	2003
mdma	lsd	1	2003-10-01	2003
mdma	lsd	1	2003-08-01	2003
mdma	lsd	1	2003-01-01	2003
mdma	cocaine	1	2003-12-01	2003
mdma	cocaine	1	2003-08-01	2003
mdma	cocaine	1	2003-06-01	2003
mdma	piracetam	1	2003-11-01	2003
mdma	piracetam	1	2003-11-01	2003
mdma	piracetam	1	2003-02-01	2003
mdma	inhalants	1	2003-09-01	2003
mdma	inhalants	1	2003-07-01	2003
mdma	ketamine	1	2003-08-01	2003
mdma	ketamine	1	2003-06-01	2003
mdma	amphetamines	1	2003-12-01	2003
mdma	amphetamines	1	2003-02-01	2003
mdma	tryptophan	1	2003-11-01	2003
mdma	tryptophan	1	2003-04-01	2003
mdma	oral	1	2003-11-01	2003
mdma	oral	1	2003-04-01	2003
mdma	nitrous oxide	1	2003-08-01	2003
mdma	nitrous oxide	1	2003-05-01	2003
mdma	tobacco	1	2003-10-01	2003
mdma	methamphetamine	1	2003-09-01	2003
mdma	2c-c	1	2003-09-01	2003
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-12-01	2004
mdma	cannabis	1	2004-10-01	2004
mdma	cannabis	1	2004-10-01	2004
mdma	cannabis	1	2004-09-01	2004
mdma	cannabis	1	2004-09-01	2004
mdma	cannabis	1	2004-08-01	2004
mdma	cannabis	1	2004-07-01	2004
mdma	cannabis	1	2004-07-01	2004
mdma	cannabis	1	2004-07-01	2004
mdma	cannabis	1	2004-05-01	2004
mdma	cannabis	1	2004-05-01	2004
mdma	cannabis	1	2004-04-01	2004
mdma	alcohol	1	2004-12-01	2004
mdma	alcohol	1	2004-09-01	2004
mdma	alcohol	1	2004-08-01	2004
