source	target	value	date	year
melatonin	valerian	1	2000-06-01	2000
melatonin	valerian	1	2001-03-01	2001
melatonin	valerian	1	2001-03-01	2001
melatonin	vitamin b-6	1	2001-03-01	2001
melatonin	vitamin b-6	1	2001-03-01	2001
melatonin	kava	1	2001-03-01	2001
melatonin	valerian	1	2002-04-01	2002
melatonin	vitamin b-6	1	2002-04-01	2002
melatonin	cannabis	1	2002-02-01	2002
melatonin	cannabis	1	2003-06-01	2003
melatonin	cannabis	1	2003-03-01	2003
melatonin	valerian	1	2003-11-01	2003
melatonin	vitamin b-6	1	2003-11-01	2003
melatonin	cannabis	1	2004-11-01	2004
melatonin	cannabis	1	2004-07-01	2004
melatonin	kava	1	2004-12-01	2004
melatonin	tryptophan	1	2004-12-01	2004
melatonin	tobacco	1	2004-11-01	2004
melatonin	valerian	1	2004-10-01	2004
melatonin	vitamin b-6	1	2004-10-01	2004
melatonin	vitamin b-6	1	2005-08-01	2005
melatonin	vitamin b-6	1	2005-08-01	2005
melatonin	vitamin b-6	1	2005-08-01	2005
melatonin	vitamin b-6	1	2005-03-01	2005
melatonin	vitamin b-6	1	2005-02-01	2005
melatonin	cannabis	1	2005-12-01	2005
melatonin	cannabis	1	2005-10-01	2005
melatonin	cannabis	1	2005-08-01	2005
melatonin	valerian	1	2005-08-01	2005
melatonin	valerian	1	2005-03-01	2005
melatonin	valerian	1	2005-02-01	2005
melatonin	tryptophan	1	2005-09-01	2005
melatonin	tryptophan	1	2005-08-01	2005
melatonin	nitrous oxide	1	2005-12-01	2005
melatonin	nitrous oxide	1	2005-10-01	2005
melatonin	ketamine	1	2005-12-01	2005
melatonin	tobacco	1	2005-10-01	2005
melatonin	alcohol	1	2005-12-01	2005
melatonin	kava	1	2005-03-01	2005
melatonin	vitamin b-6	1	2006-10-01	2006
melatonin	vitamin b-6	1	2006-06-01	2006
melatonin	vitamin b-6	1	2006-06-01	2006
melatonin	vitamin b-6	1	2006-06-01	2006
melatonin	vitamin b-6	1	2006-05-01	2006
melatonin	vitamin b-6	1	2006-05-01	2006
melatonin	vitamin b-6	1	2006-04-01	2006
melatonin	vitamin b-6	1	2006-04-01	2006
melatonin	vitamin b-6	1	2006-04-01	2006
melatonin	vitamin b-6	1	2006-04-01	2006
melatonin	vitamin b-6	1	2006-04-01	2006
melatonin	valerian	1	2006-06-01	2006
melatonin	valerian	1	2006-06-01	2006
melatonin	valerian	1	2006-06-01	2006
melatonin	valerian	1	2006-05-01	2006
melatonin	valerian	1	2006-04-01	2006
melatonin	valerian	1	2006-04-01	2006
melatonin	valerian	1	2006-04-01	2006
melatonin	valerian	1	2006-04-01	2006
melatonin	valerian	1	2006-04-01	2006
melatonin	alcohol	1	2006-07-01	2006
melatonin	alcohol	1	2006-07-01	2006
melatonin	alcohol	1	2006-06-01	2006
melatonin	cannabis	1	2006-07-01	2006
melatonin	cannabis	1	2006-06-01	2006
melatonin	cannabis	1	2006-06-01	2006
melatonin	diphenhydramine	1	2006-05-01	2006
melatonin	diphenhydramine	1	2006-04-01	2006
melatonin	diphenhydramine	1	2006-04-01	2006
melatonin	tryptophan	1	2006-10-01	2006
melatonin	tryptophan	1	2006-06-01	2006
melatonin	tobacco	1	2006-04-01	2006
melatonin	kava	1	2006-04-01	2006
melatonin	cannabis	1	2007-06-01	2007
melatonin	cannabis	1	2007-05-01	2007
melatonin	dxm	1	2007-07-01	2007
melatonin	lsd	1	2007-06-01	2007
melatonin	tobacco	1	2007-03-01	2007
melatonin	vitamin b-6	1	2007-03-01	2007
melatonin	tryptophan	1	2007-01-01	2007
melatonin	cannabis	1	2008-12-01	2008
melatonin	cannabis	1	2008-12-01	2008
melatonin	cannabis	1	2008-01-01	2008
melatonin	alcohol	1	2008-12-01	2008
melatonin	alcohol	1	2008-06-01	2008
melatonin	valerian	1	2008-12-01	2008
melatonin	dxm	1	2008-12-01	2008
melatonin	cannabis	1	2009-12-01	2009
melatonin	cannabis	1	2009-10-01	2009
melatonin	alcohol	1	2009-07-01	2009
melatonin	alcohol	1	2010-08-01	2010
melatonin	alcohol	1	2010-07-01	2010
melatonin	diphenhydramine	1	2010-08-01	2010
melatonin	cannabis	1	2010-07-01	2010
melatonin	cannabis	1	2011-11-01	2011
melatonin	cannabis	1	2011-01-01	2011
melatonin	tryptophan	1	2011-11-01	2011
melatonin	vitamin b-6	1	2011-06-01	2011
melatonin	alcohol	1	2011-01-01	2011
melatonin	cannabis	1	2012-10-01	2012
melatonin	cannabis	1	2012-01-01	2012
melatonin	lsd	1	2012-10-01	2012
melatonin	ketamine	1	2012-10-01	2012
melatonin	nitrous oxide	1	2012-04-01	2012
melatonin	diphenhydramine	1	2013-10-01	2013
melatonin	diphenhydramine	1	2013-08-01	2013
melatonin	alcohol	1	2013-10-01	2013
melatonin	cannabis	1	2013-08-01	2013
melatonin	valerian	1	2013-01-01	2013
melatonin	kava	1	2013-01-01	2013
melatonin	tryptophan	1	2013-01-01	2013
