source	target	value	date	year
modafinil	alcohol	1	2003-05-01	2003
modafinil	amphetamines	1	2003-05-01	2003
modafinil	cannabis	1	2004-11-01	2004
modafinil	alprazolam	1	2004-11-01	2004
modafinil	bupropion	1	2004-11-01	2004
modafinil	caffeine	1	2004-11-01	2004
modafinil	paroxetine	1	2004-11-01	2004
modafinil	hydrocodone	1	2004-03-01	2004
modafinil	bupropion	1	2005-02-01	2005
modafinil	clonazepam	1	2005-02-01	2005
modafinil	tryptophan	1	2005-02-01	2005
modafinil	mdma	1	2005-02-01	2005
modafinil	cannabis	1	2005-02-01	2005
modafinil	bupropion	1	2006-09-01	2006
modafinil	bupropion	1	2006-07-01	2006
modafinil	bupropion	1	2006-06-01	2006
modafinil	caffeine	1	2006-09-01	2006
modafinil	caffeine	1	2006-05-01	2006
modafinil	tobacco	1	2006-09-01	2006
modafinil	tobacco	1	2006-05-01	2006
modafinil	alcohol	1	2006-06-01	2006
modafinil	alcohol	1	2006-05-01	2006
modafinil	paroxetine	1	2006-05-01	2006
modafinil	mdma	1	2006-09-01	2006
modafinil	tryptophan	1	2006-09-01	2006
modafinil	oral	1	2006-05-01	2006
modafinil	cannabis	1	2006-05-01	2006
modafinil	tobacco	1	2007-08-01	2007
modafinil	mdma	1	2007-07-01	2007
modafinil	amphetamines	1	2007-07-01	2007
modafinil	cannabis	1	2007-06-01	2007
modafinil	methylphenidate	1	2007-02-01	2007
modafinil	escitalopram	1	2008-06-01	2008
modafinil	methylphenidate	1	2008-06-01	2008
modafinil	amphetamines	1	2008-04-01	2008
modafinil	hydrocodone	1	2008-03-01	2008
modafinil	escitalopram	1	2009-08-01	2009
modafinil	oral	1	2009-08-01	2009
modafinil	undefined	1	2009-08-01	2009
modafinil	20 mg	1	2009-08-01	2009
modafinil	alcohol	1	2010-04-01	2010
modafinil	alcohol	1	2010-04-01	2010
modafinil	bupropion	1	2010-09-01	2010
modafinil	amphetamines	1	2010-04-01	2010
modafinil	methylphenidate	1	2010-04-01	2010
modafinil	alprazolam	1	2010-04-01	2010
modafinil	cannabis	1	2010-04-01	2010
modafinil	clonazepam	1	2010-04-01	2010
modafinil	oral	1	2011-06-01	2011
modafinil	oral	1	2012-02-01	2012
modafinil	undefined	1	2012-02-01	2012
modafinil	20 mg	1	2012-02-01	2012
