source	target	value	date	year
morning glory	dimenhydrinate	1	2000-10-01	2000
morning glory	dimenhydrinate	1	2001-04-01	2001
morning glory	cannabis	1	2002-05-01	2002
morning glory	cannabis	1	2002-02-01	2002
morning glory	cannabis	1	2002-02-01	2002
morning glory	cannabis	1	2002-01-01	2002
morning glory	cannabis	1	2002-01-01	2002
morning glory	dxm	1	2002-08-01	2002
morning glory	dxm	1	2002-01-01	2002
morning glory	nutmeg	1	2002-02-01	2002
morning glory	dimenhydrinate	1	2002-02-01	2002
morning glory	salvia divinorum	1	2002-01-01	2002
morning glory	meclizine	1	2002-02-01	2002
morning glory	datura	1	2003-12-01	2003
morning glory	datura	1	2003-08-01	2003
morning glory	cannabis	1	2003-03-01	2003
morning glory	cannabis	1	2003-02-01	2003
morning glory	cacti	1	2003-10-01	2003
morning glory	cannabis	1	2004-10-01	2004
morning glory	cannabis	1	2004-08-01	2004
morning glory	cannabis	1	2004-07-01	2004
morning glory	nutmeg	1	2004-12-01	2004
morning glory	mushrooms	1	2004-02-01	2004
morning glory	dimenhydrinate	1	2004-03-01	2004
morning glory	cannabis	1	2005-11-01	2005
morning glory	cannabis	1	2005-09-01	2005
morning glory	cannabis	1	2005-08-01	2005
morning glory	cannabis	1	2005-07-01	2005
morning glory	cannabis	1	2005-07-01	2005
morning glory	cannabis	1	2005-07-01	2005
morning glory	cannabis	1	2005-06-01	2005
morning glory	cannabis	1	2005-02-01	2005
morning glory	alcohol	1	2005-12-01	2005
morning glory	alcohol	1	2005-07-01	2005
morning glory	syrian rue	1	2005-08-01	2005
morning glory	cannabis	1	2006-12-01	2006
morning glory	cannabis	1	2006-12-01	2006
morning glory	cannabis	1	2006-08-01	2006
morning glory	cannabis	1	2006-05-01	2006
morning glory	cannabis	1	2006-03-01	2006
morning glory	cannabis	1	2006-03-01	2006
morning glory	h.b. woodrose	1	2006-03-01	2006
morning glory	nutmeg	1	2006-12-01	2006
morning glory	nitrous oxide	1	2006-06-01	2006
morning glory	alcohol	1	2006-06-01	2006
morning glory	cannabis	1	2007-12-01	2007
morning glory	cannabis	1	2007-12-01	2007
morning glory	cannabis	1	2007-11-01	2007
morning glory	cannabis	1	2007-11-01	2007
morning glory	cannabis	1	2007-11-01	2007
morning glory	cannabis	1	2007-11-01	2007
morning glory	cannabis	1	2007-11-01	2007
morning glory	cannabis	1	2007-10-01	2007
morning glory	cannabis	1	2007-10-01	2007
morning glory	cannabis	1	2007-10-01	2007
morning glory	cannabis	1	2007-09-01	2007
morning glory	cannabis	1	2007-09-01	2007
morning glory	cannabis	1	2007-07-01	2007
morning glory	cannabis	1	2007-06-01	2007
morning glory	cannabis	1	2007-06-01	2007
morning glory	cannabis	1	2007-05-01	2007
morning glory	cannabis	1	2007-05-01	2007
morning glory	cannabis	1	2007-04-01	2007
morning glory	cannabis	1	2007-04-01	2007
morning glory	cannabis	1	2007-04-01	2007
morning glory	cannabis	1	2007-04-01	2007
morning glory	cannabis	1	2007-02-01	2007
morning glory	cannabis	1	2007-01-01	2007
morning glory	cannabis	1	2007-01-01	2007
morning glory	alcohol	1	2007-11-01	2007
morning glory	alcohol	1	2007-11-01	2007
morning glory	alcohol	1	2007-09-01	2007
morning glory	alcohol	1	2007-09-01	2007
morning glory	alcohol	1	2007-06-01	2007
morning glory	alcohol	1	2007-06-01	2007
morning glory	alcohol	1	2007-06-01	2007
morning glory	alcohol	1	2007-06-01	2007
morning glory	alcohol	1	2007-05-01	2007
morning glory	tobacco	1	2007-11-01	2007
morning glory	tobacco	1	2007-09-01	2007
morning glory	tobacco	1	2007-06-01	2007
morning glory	h.b. woodrose	1	2007-11-01	2007
morning glory	h.b. woodrose	1	2007-07-01	2007
morning glory	mushrooms	1	2007-11-01	2007
morning glory	mushrooms	1	2007-10-01	2007
morning glory	cacti	1	2007-11-01	2007
morning glory	datura	1	2007-06-01	2007
morning glory	salvia divinorum	1	2007-05-01	2007
morning glory	cannabis	1	2008-12-01	2008
morning glory	cannabis	1	2008-12-01	2008
morning glory	cannabis	1	2008-09-01	2008
morning glory	cannabis	1	2008-08-01	2008
morning glory	cannabis	1	2008-07-01	2008
morning glory	cannabis	1	2008-05-01	2008
morning glory	cannabis	1	2008-04-01	2008
morning glory	cannabis	1	2008-02-01	2008
morning glory	tobacco	1	2008-12-01	2008
morning glory	tobacco	1	2008-04-01	2008
morning glory	syrian rue	1	2008-05-01	2008
morning glory	syrian rue	1	2008-03-01	2008
morning glory	salvia divinorum	1	2008-12-01	2008
morning glory	nitrous oxide	1	2008-06-01	2008
morning glory	dxm	1	2008-04-01	2008
morning glory	cannabis	1	2009-12-01	2009
morning glory	cannabis	1	2009-12-01	2009
morning glory	cannabis	1	2009-12-01	2009
morning glory	cannabis	1	2009-10-01	2009
morning glory	cannabis	1	2009-10-01	2009
morning glory	cannabis	1	2009-10-01	2009
morning glory	cannabis	1	2009-10-01	2009
morning glory	cannabis	1	2009-10-01	2009
morning glory	cannabis	1	2009-08-01	2009
morning glory	cannabis	1	2009-08-01	2009
morning glory	cannabis	1	2009-08-01	2009
morning glory	cannabis	1	2009-05-01	2009
morning glory	alcohol	1	2009-12-01	2009
morning glory	alcohol	1	2009-12-01	2009
morning glory	alcohol	1	2009-12-01	2009
morning glory	alcohol	1	2009-10-01	2009
morning glory	alcohol	1	2009-08-01	2009
morning glory	alcohol	1	2009-05-01	2009
morning glory	tobacco	1	2009-12-01	2009
morning glory	tobacco	1	2009-09-01	2009
morning glory	dimenhydrinate	1	2009-08-01	2009
