source	target	value	date	year
mushrooms	syrian rue	1	2000-09-01	2000
mushrooms	syrian rue	1	2000-09-01	2000
mushrooms	syrian rue	1	2000-07-01	2000
mushrooms	syrian rue	1	2000-06-01	2000
mushrooms	syrian rue	1	2000-06-01	2000
mushrooms	mdma	1	2000-09-01	2000
mushrooms	mdma	1	2000-06-01	2000
mushrooms	mdma	1	2000-06-01	2000
mushrooms	mdma	1	2000-06-01	2000
mushrooms	mdma	1	2000-05-01	2000
mushrooms	nitrous oxide	1	2000-09-01	2000
mushrooms	nitrous oxide	1	2000-06-01	2000
mushrooms	lsd	1	2000-10-01	2000
mushrooms	lsd	1	2000-06-01	2000
mushrooms	salvia divinorum	1	2000-06-01	2000
mushrooms	salvia divinorum	1	2000-06-01	2000
mushrooms	dmt	1	2000-06-01	2000
mushrooms	dmt	1	2000-06-01	2000
mushrooms	amanitas	1	2000-09-01	2000
mushrooms	smoked	1	2000-11-01	2000
mushrooms	5-meo-dipt	1	2000-09-01	2000
mushrooms	mdma	1	2001-09-01	2001
mushrooms	mdma	1	2001-07-01	2001
mushrooms	mdma	1	2001-03-01	2001
mushrooms	mdma	1	2001-02-01	2001
mushrooms	mdma	1	2001-02-01	2001
mushrooms	cannabis	1	2001-12-01	2001
mushrooms	cannabis	1	2001-12-01	2001
mushrooms	cannabis	1	2001-08-01	2001
mushrooms	cannabis	1	2001-07-01	2001
mushrooms	lsd	1	2001-10-01	2001
mushrooms	lsd	1	2001-06-01	2001
mushrooms	syrian rue	1	2001-08-01	2001
mushrooms	syrian rue	1	2001-04-01	2001
mushrooms	anadenanthera colubrina	1	2001-08-01	2001
mushrooms	salvia divinorum	1	2001-10-01	2001
mushrooms	dmt	1	2001-12-01	2001
mushrooms	amt	1	2001-07-01	2001
mushrooms	banisteriopsis caapi	1	2001-04-01	2001
mushrooms	cannabis	1	2002-12-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-10-01	2002
mushrooms	cannabis	1	2002-07-01	2002
mushrooms	cannabis	1	2002-07-01	2002
mushrooms	cannabis	1	2002-06-01	2002
mushrooms	cannabis	1	2002-05-01	2002
mushrooms	cannabis	1	2002-03-01	2002
