source	target	value	date	year
nitrous oxide	cannabis	1	2000-12-01	2000
nitrous oxide	cannabis	1	2000-10-01	2000
nitrous oxide	cannabis	1	2000-09-01	2000
nitrous oxide	cannabis	1	2000-09-01	2000
nitrous oxide	mdma	1	2000-10-01	2000
nitrous oxide	mdma	1	2000-09-01	2000
nitrous oxide	mushrooms	1	2000-09-01	2000
nitrous oxide	mushrooms	1	2000-06-01	2000
nitrous oxide	alcohol	1	2000-09-01	2000
nitrous oxide	dxm	1	2000-06-01	2000
nitrous oxide	2c-t-7	1	2000-06-01	2000
nitrous oxide	5-meo-dipt	1	2000-09-01	2000
nitrous oxide	cannabis	1	2001-12-01	2001
nitrous oxide	cannabis	1	2001-11-01	2001
nitrous oxide	cannabis	1	2001-10-01	2001
nitrous oxide	cannabis	1	2001-09-01	2001
nitrous oxide	cannabis	1	2001-07-01	2001
nitrous oxide	lsd	1	2001-12-01	2001
nitrous oxide	lsd	1	2001-12-01	2001
nitrous oxide	lsd	1	2001-12-01	2001
nitrous oxide	salvia divinorum	1	2001-12-01	2001
nitrous oxide	salvia divinorum	1	2001-07-01	2001
nitrous oxide	mdma	1	2001-08-01	2001
nitrous oxide	mdma	1	2001-02-01	2001
nitrous oxide	alcohol	1	2001-08-01	2001
nitrous oxide	alcohol	1	2001-07-01	2001
nitrous oxide	5-meo-dmt	1	2001-02-01	2001
nitrous oxide	kratom	1	2001-10-01	2001
nitrous oxide	5-meo-dipt	1	2001-08-01	2001
nitrous oxide	gbl	1	2001-10-01	2001
nitrous oxide	2c-i	1	2001-09-01	2001
nitrous oxide	mdma	1	2002-11-01	2002
nitrous oxide	mdma	1	2002-08-01	2002
nitrous oxide	mdma	1	2002-07-01	2002
nitrous oxide	mdma	1	2002-04-01	2002
nitrous oxide	amt	1	2002-08-01	2002
nitrous oxide	amt	1	2002-05-01	2002
nitrous oxide	amt	1	2002-03-01	2002
nitrous oxide	amt	1	2002-02-01	2002
nitrous oxide	mushrooms	1	2002-08-01	2002
nitrous oxide	mushrooms	1	2002-04-01	2002
nitrous oxide	mushrooms	1	2002-03-01	2002
nitrous oxide	lsd	1	2002-08-01	2002
nitrous oxide	lsd	1	2002-07-01	2002
nitrous oxide	lsd	1	2002-01-01	2002
nitrous oxide	2c-i	1	2002-08-01	2002
nitrous oxide	2c-i	1	2002-06-01	2002
nitrous oxide	2c-t-7	1	2002-11-01	2002
nitrous oxide	2c-t-7	1	2002-01-01	2002
nitrous oxide	ketamine	1	2002-07-01	2002
nitrous oxide	ketamine	1	2002-07-01	2002
nitrous oxide	5-meo-dmt	1	2002-03-01	2002
nitrous oxide	5-meo-dmt	1	2002-01-01	2002
nitrous oxide	alcohol	1	2002-01-01	2002
nitrous oxide	2c-t-2	1	2002-10-01	2002
nitrous oxide	salvia divinorum	1	2002-08-01	2002
nitrous oxide	gbl	1	2002-08-01	2002
nitrous oxide	cannabis	1	2002-05-01	2002
nitrous oxide	h.b. woodrose	1	2002-10-01	2002
nitrous oxide	cannabis	1	2003-12-01	2003
nitrous oxide	cannabis	1	2003-12-01	2003
nitrous oxide	cannabis	1	2003-08-01	2003
nitrous oxide	cannabis	1	2003-07-01	2003
nitrous oxide	cannabis	1	2003-06-01	2003
nitrous oxide	cannabis	1	2003-04-01	2003
nitrous oxide	cannabis	1	2003-02-01	2003
nitrous oxide	2c-b	1	2003-08-01	2003
nitrous oxide	2c-b	1	2003-05-01	2003
nitrous oxide	alcohol	1	2003-12-01	2003
nitrous oxide	alcohol	1	2003-02-01	2003
nitrous oxide	2c-e	1	2003-09-01	2003
nitrous oxide	2c-e	1	2003-06-01	2003
nitrous oxide	mdma	1	2003-08-01	2003
nitrous oxide	mdma	1	2003-05-01	2003
nitrous oxide	alprazolam	1	2003-08-01	2003
nitrous oxide	alprazolam	1	2003-02-01	2003
nitrous oxide	2c-i	1	2003-07-01	2003
nitrous oxide	2c-i	1	2003-01-01	2003
nitrous oxide	lsd	1	2003-08-01	2003
nitrous oxide	ketamine	1	2003-08-01	2003
nitrous oxide	h.b. woodrose	1	2003-12-01	2003
nitrous oxide	gbl	1	2003-02-01	2003
nitrous oxide	dmt	1	2003-02-01	2003
nitrous oxide	cannabis	1	2004-11-01	2004
nitrous oxide	cannabis	1	2004-11-01	2004
nitrous oxide	cannabis	1	2004-09-01	2004
nitrous oxide	cannabis	1	2004-08-01	2004
nitrous oxide	cannabis	1	2004-06-01	2004
nitrous oxide	cannabis	1	2004-03-01	2004
nitrous oxide	cannabis	1	2004-02-01	2004
nitrous oxide	cannabis	1	2004-02-01	2004
nitrous oxide	cannabis	1	2004-02-01	2004
nitrous oxide	cannabis	1	2004-01-01	2004
nitrous oxide	cannabis	1	2004-01-01	2004
nitrous oxide	2c-t-2	1	2004-11-01	2004
nitrous oxide	2c-t-2	1	2004-01-01	2004
nitrous oxide	2c-d	1	2004-06-01	2004
nitrous oxide	2c-d	1	2004-03-01	2004
nitrous oxide	lsd	1	2004-02-01	2004
nitrous oxide	lsd	1	2004-01-01	2004
nitrous oxide	alcohol	1	2004-02-01	2004
nitrous oxide	alcohol	1	2004-01-01	2004
nitrous oxide	salvia divinorum	1	2004-05-01	2004
nitrous oxide	kratom	1	2004-08-01	2004
nitrous oxide	mushrooms	1	2004-11-01	2004
nitrous oxide	2c-e	1	2004-02-01	2004
nitrous oxide	tobacco	1	2004-02-01	2004
nitrous oxide	h.b. woodrose	1	2004-01-01	2004
nitrous oxide	cannabis	1	2005-12-01	2005
nitrous oxide	cannabis	1	2005-12-01	2005
nitrous oxide	cannabis	1	2005-12-01	2005
nitrous oxide	cannabis	1	2005-11-01	2005
nitrous oxide	cannabis	1	2005-10-01	2005
nitrous oxide	cannabis	1	2005-10-01	2005
nitrous oxide	cannabis	1	2005-10-01	2005
nitrous oxide	cannabis	1	2005-08-01	2005
nitrous oxide	cannabis	1	2005-08-01	2005
nitrous oxide	cannabis	1	2005-07-01	2005
nitrous oxide	cannabis	1	2005-07-01	2005
nitrous oxide	cannabis	1	2005-06-01	2005
nitrous oxide	cannabis	1	2005-06-01	2005
nitrous oxide	cannabis	1	2005-04-01	2005
nitrous oxide	cannabis	1	2005-03-01	2005
nitrous oxide	cannabis	1	2005-02-01	2005
nitrous oxide	lsd	1	2005-11-01	2005
nitrous oxide	lsd	1	2005-11-01	2005
nitrous oxide	lsd	1	2005-08-01	2005
nitrous oxide	lsd	1	2005-07-01	2005
nitrous oxide	lsd	1	2005-07-01	2005
nitrous oxide	mushrooms	1	2005-11-01	2005
nitrous oxide	mushrooms	1	2005-07-01	2005
nitrous oxide	mushrooms	1	2005-06-01	2005
nitrous oxide	mushrooms	1	2005-02-01	2005
nitrous oxide	mdma	1	2005-12-01	2005
nitrous oxide	mdma	1	2005-08-01	2005
nitrous oxide	mdma	1	2005-06-01	2005
nitrous oxide	mdma	1	2005-04-01	2005
nitrous oxide	tobacco	1	2005-10-01	2005
nitrous oxide	tobacco	1	2005-07-01	2005
nitrous oxide	tobacco	1	2005-01-01	2005
nitrous oxide	alcohol	1	2005-12-01	2005
nitrous oxide	alcohol	1	2005-10-01	2005
nitrous oxide	ketamine	1	2005-12-01	2005
