source	target	value	date	year
nutmeg	kava	1	2000-12-01	2000
nutmeg	codeine	1	2001-10-01	2001
nutmeg	kava	1	2002-07-01	2002
nutmeg	morning glory	1	2002-02-01	2002
nutmeg	cannabis	1	2002-02-01	2002
nutmeg	alcohol	1	2003-06-01	2003
nutmeg	cannabis	1	2003-06-01	2003
nutmeg	ginger	1	2003-04-01	2003
nutmeg	morning glory	1	2004-12-01	2004
nutmeg	tobacco	1	2004-10-01	2004
nutmeg	alcohol	1	2004-08-01	2004
nutmeg	cannabis	1	2004-08-01	2004
nutmeg	alcohol	1	2005-07-01	2005
nutmeg	alcohol	1	2005-04-01	2005
nutmeg	alcohol	1	2005-01-01	2005
nutmeg	cannabis	1	2005-07-01	2005
nutmeg	caffeine	1	2005-07-01	2005
nutmeg	kava	1	2005-07-01	2005
nutmeg	amphetamines	1	2005-04-01	2005
nutmeg	cannabis	1	2006-06-01	2006
nutmeg	cannabis	1	2006-04-01	2006
nutmeg	cannabis	1	2006-04-01	2006
nutmeg	morning glory	1	2006-12-01	2006
nutmeg	caffeine	1	2006-05-01	2006
nutmeg	alcohol	1	2006-04-01	2006
nutmeg	cannabis	1	2007-12-01	2007
nutmeg	cannabis	1	2007-12-01	2007
nutmeg	cannabis	1	2007-11-01	2007
nutmeg	cannabis	1	2007-07-01	2007
nutmeg	cannabis	1	2007-07-01	2007
nutmeg	cannabis	1	2007-06-01	2007
nutmeg	cannabis	1	2007-06-01	2007
nutmeg	cannabis	1	2007-02-01	2007
nutmeg	alcohol	1	2007-11-01	2007
nutmeg	alcohol	1	2007-11-01	2007
nutmeg	alcohol	1	2007-10-01	2007
nutmeg	alcohol	1	2007-06-01	2007
nutmeg	coffee	1	2007-11-01	2007
nutmeg	coffee	1	2007-02-01	2007
nutmeg	ginger	1	2007-06-01	2007
nutmeg	ginger	1	2007-06-01	2007
nutmeg	salvia divinorum	1	2007-11-01	2007
nutmeg	mushrooms	1	2007-12-01	2007
nutmeg	tobacco	1	2007-12-01	2007
nutmeg	amphetamines	1	2007-06-01	2007
nutmeg	caffeine	1	2007-06-01	2007
nutmeg	kava	1	2007-01-01	2007
nutmeg	alcohol	1	2008-08-01	2008
nutmeg	alcohol	1	2008-07-01	2008
nutmeg	alcohol	1	2008-02-01	2008
nutmeg	alcohol	1	2008-01-01	2008
nutmeg	alcohol	1	2008-01-01	2008
nutmeg	alcohol	1	2008-01-01	2008
nutmeg	cannabis	1	2008-06-01	2008
nutmeg	cannabis	1	2008-01-01	2008
nutmeg	coffee	1	2008-09-01	2008
nutmeg	coffee	1	2008-07-01	2008
nutmeg	salvia divinorum	1	2008-07-01	2008
nutmeg	cannabis	1	2009-10-01	2009
nutmeg	cannabis	1	2009-03-01	2009
nutmeg	mushrooms	1	2009-11-01	2009
nutmeg	codeine	1	2009-10-01	2009
nutmeg	cannabis	1	2012-11-01	2012
nutmeg	tobacco	1	2013-10-01	2013
nutmeg	cannabis	1	2013-10-01	2013
nutmeg	alcohol	1	2013-01-01	2013
