source	target	value	date	year
piracetam	mdma	1	2001-12-01	2001
piracetam	mdma	1	2001-12-01	2001
piracetam	mdma	1	2001-01-01	2001
piracetam	hydergine	1	2001-12-01	2001
piracetam	hydergine	1	2001-09-01	2001
piracetam	cannabis	1	2001-12-01	2001
piracetam	2c-t-2	1	2001-01-01	2001
piracetam	mdma	1	2002-09-01	2002
piracetam	2c-t-2	1	2002-07-01	2002
piracetam	oral	1	2002-06-01	2002
piracetam	undefined	1	2002-06-01	2002
piracetam	hydergine	1	2003-11-01	2003
piracetam	hydergine	1	2003-11-01	2003
piracetam	hydergine	1	2003-11-01	2003
piracetam	hydergine	1	2003-06-01	2003
piracetam	hydergine	1	2003-04-01	2003
piracetam	mdma	1	2003-11-01	2003
piracetam	mdma	1	2003-11-01	2003
piracetam	mdma	1	2003-02-01	2003
piracetam	vitamin c	1	2003-11-01	2003
piracetam	vitamin c	1	2003-02-01	2003
piracetam	vitamins / supplements	1	2003-11-01	2003
piracetam	vitamins / supplements	1	2003-02-01	2003
piracetam	adrafinil	1	2003-06-01	2003
piracetam	adrafinil	1	2003-04-01	2003
piracetam	dmae	1	2003-11-01	2003
piracetam	alcohol	1	2003-11-01	2003
piracetam	tryptophan	1	2003-11-01	2003
piracetam	clonazepam	1	2003-11-01	2003
piracetam	vitamins	1	2003-06-01	2003
piracetam	caffeine	1	2003-04-01	2003
piracetam	oral	1	2004-12-01	2004
piracetam	dmae	1	2004-12-01	2004
piracetam	tryptophan	1	2004-12-01	2004
piracetam	cannabis	1	2004-08-01	2004
piracetam	2c-t-2	1	2004-07-01	2004
piracetam	2c-i	1	2004-01-01	2004
piracetam	oral	1	2005-12-01	2005
piracetam	oral	1	2005-07-01	2005
piracetam	cannabis	1	2005-03-01	2005
piracetam	kratom	1	2005-12-01	2005
piracetam	hydergine	1	2005-07-01	2005
piracetam	vitamins / supplements	1	2005-07-01	2005
piracetam	cacti	1	2005-03-01	2005
piracetam	undefined	1	2005-07-01	2005
piracetam	hydergine	1	2006-05-01	2006
piracetam	hydergine	1	2006-03-01	2006
piracetam	hydergine	1	2006-03-01	2006
piracetam	hydergine	1	2006-01-01	2006
piracetam	cannabis	1	2006-05-01	2006
piracetam	cannabis	1	2006-03-01	2006
piracetam	cannabis	1	2006-01-01	2006
piracetam	alcohol	1	2006-05-01	2006
piracetam	alcohol	1	2006-02-01	2006
piracetam	alcohol	1	2006-01-01	2006
piracetam	aniracetam	1	2006-06-01	2006
piracetam	aniracetam	1	2006-03-01	2006
piracetam	2c-i	1	2006-03-01	2006
piracetam	2c-i	1	2006-03-01	2006
piracetam	alprazolam	1	2006-03-01	2006
piracetam	kratom	1	2006-05-01	2006
piracetam	caffeine	1	2006-03-01	2006
piracetam	oral	1	2006-02-01	2006
piracetam	undefined	1	2006-02-01	2006
piracetam	ketamine	1	2006-03-01	2006
piracetam	vitamins / supplements	1	2007-11-01	2007
piracetam	vitamins / supplements	1	2007-10-01	2007
piracetam	vitamins / supplements	1	2007-07-01	2007
piracetam	vitamins / supplements	1	2007-03-01	2007
piracetam	kratom	1	2007-10-01	2007
piracetam	kratom	1	2007-07-01	2007
piracetam	cannabis	1	2007-10-01	2007
piracetam	cannabis	1	2007-07-01	2007
piracetam	hydergine	1	2007-10-01	2007
piracetam	cacti	1	2007-10-01	2007
piracetam	smarts	1	2007-10-01	2007
piracetam	alcohol	1	2007-12-01	2007
piracetam	amphetamines	1	2007-07-01	2007
piracetam	oral	1	2007-06-01	2007
piracetam	dmae	1	2007-03-01	2007
piracetam	aniracetam	1	2008-09-01	2008
piracetam	hydergine	1	2008-09-01	2008
piracetam	mdma	1	2008-07-01	2008
piracetam	vitamins	1	2008-05-01	2008
piracetam	alcohol	1	2008-04-01	2008
piracetam	lecithin	1	2009-09-01	2009
piracetam	lecithin	1	2009-09-01	2009
piracetam	lecithin	1	2009-06-01	2009
piracetam	cannabis	1	2009-12-01	2009
piracetam	cannabis	1	2009-09-01	2009
piracetam	vitamins	1	2009-07-01	2009
piracetam	vitamins	1	2009-04-01	2009
piracetam	alprazolam	1	2009-09-01	2009
piracetam	ketamine	1	2009-09-01	2009
piracetam	coffee	1	2009-09-01	2009
piracetam	mdma	1	2009-07-01	2009
piracetam	amphetamines	1	2009-07-01	2009
piracetam	cacti	1	2010-12-01	2010
piracetam	aniracetam	1	2010-12-01	2010
piracetam	coffee	1	2010-12-01	2010
piracetam	amt	1	2010-12-01	2010
piracetam	5-meo-dalt	1	2010-12-01	2010
piracetam	undefined	1	2010-09-01	2010
piracetam	vitamins	1	2011-02-01	2011
piracetam	vitamins	1	2011-02-01	2011
piracetam	smarts	1	2011-08-01	2011
piracetam	5-meo-dalt	1	2011-02-01	2011
piracetam	vitamin c	1	2011-02-01	2011
piracetam	cannabis	1	2011-09-01	2011
piracetam	ketamine	1	2011-09-01	2011
piracetam	hydergine	1	2011-02-01	2011
piracetam	2c-i	1	2011-01-01	2011
piracetam	cannabis	1	2012-12-01	2012
piracetam	cannabis	1	2012-11-01	2012
piracetam	cannabis	1	2012-01-01	2012
piracetam	vitamins	1	2012-08-01	2012
piracetam	vitamins	1	2012-03-01	2012
piracetam	vitamins	1	2012-03-01	2012
piracetam	clonazepam	1	2012-03-01	2012
piracetam	dmae	1	2012-08-01	2012
piracetam	adrafinil	1	2012-12-01	2012
piracetam	caffeine	1	2012-12-01	2012
piracetam	lecithin	1	2012-03-01	2012
piracetam	smarts	1	2012-03-01	2012
piracetam	tryptophan	1	2012-01-01	2012
piracetam	oral	1	2013-06-01	2013
piracetam	oral	1	2013-04-01	2013
piracetam	clonazepam	1	2013-06-01	2013
piracetam	cannabis	1	2014-01-01	2014
piracetam	amt	1	2014-02-01	2014
piracetam	ketamine	1	2014-02-01	2014
