source	target	value	date	year
salvia divinorum	cannabis	1	2000-09-01	2000
salvia divinorum	cannabis	1	2000-06-01	2000
salvia divinorum	mushrooms	1	2000-06-01	2000
salvia divinorum	mushrooms	1	2000-06-01	2000
salvia divinorum	lotus/lily	1	2000-09-01	2000
salvia divinorum	cannabis	1	2001-12-01	2001
salvia divinorum	cannabis	1	2001-12-01	2001
salvia divinorum	cannabis	1	2001-12-01	2001
salvia divinorum	cannabis	1	2001-11-01	2001
salvia divinorum	cannabis	1	2001-07-01	2001
salvia divinorum	cannabis	1	2001-07-01	2001
salvia divinorum	cannabis	1	2001-07-01	2001
salvia divinorum	cannabis	1	2001-06-01	2001
salvia divinorum	cannabis	1	2001-05-01	2001
salvia divinorum	mdma	1	2001-12-01	2001
salvia divinorum	mdma	1	2001-11-01	2001
salvia divinorum	mdma	1	2001-01-01	2001
salvia divinorum	alcohol	1	2001-12-01	2001
salvia divinorum	alcohol	1	2001-07-01	2001
salvia divinorum	lsd	1	2001-12-01	2001
salvia divinorum	lsd	1	2001-12-01	2001
salvia divinorum	nitrous oxide	1	2001-12-01	2001
salvia divinorum	nitrous oxide	1	2001-07-01	2001
salvia divinorum	5-meo-dmt	1	2001-09-01	2001
salvia divinorum	5-meo-dmt	1	2001-05-01	2001
salvia divinorum	dxm	1	2001-12-01	2001
salvia divinorum	kava	1	2001-12-01	2001
salvia divinorum	methamphetamine	1	2001-12-01	2001
salvia divinorum	mushrooms	1	2001-10-01	2001
salvia divinorum	cannabis	1	2002-11-01	2002
salvia divinorum	cannabis	1	2002-02-01	2002
salvia divinorum	cannabis	1	2002-02-01	2002
salvia divinorum	cannabis	1	2002-01-01	2002
salvia divinorum	dxm	1	2002-08-01	2002
salvia divinorum	dxm	1	2002-07-01	2002
salvia divinorum	dxm	1	2002-03-01	2002
salvia divinorum	dxm	1	2002-01-01	2002
salvia divinorum	lsd	1	2002-08-01	2002
salvia divinorum	lsd	1	2002-02-01	2002
salvia divinorum	lsd	1	2002-02-01	2002
salvia divinorum	lsd	1	2002-01-01	2002
salvia divinorum	alcohol	1	2002-05-01	2002
salvia divinorum	alcohol	1	2002-05-01	2002
salvia divinorum	alcohol	1	2002-02-01	2002
salvia divinorum	syrian rue	1	2002-12-01	2002
