source	target	value	date	year
syrian rue	mushrooms	1	2000-09-01	2000
syrian rue	mushrooms	1	2000-09-01	2000
syrian rue	mushrooms	1	2000-07-01	2000
syrian rue	mushrooms	1	2000-06-01	2000
syrian rue	mushrooms	1	2000-06-01	2000
syrian rue	mimosa tenuiflora	1	2000-10-01	2000
syrian rue	mimosa tenuiflora	1	2000-09-01	2000
syrian rue	mimosa tenuiflora	1	2000-06-01	2000
syrian rue	mimosa tenuiflora	1	2000-06-01	2000
syrian rue	5-meo-dmt	1	2000-06-01	2000
syrian rue	5-meo-dmt	1	2000-06-01	2000
syrian rue	5-meo-dmt	1	2000-06-01	2000
syrian rue	acacia	1	2000-06-01	2000
syrian rue	acacia	1	2000-06-01	2000
syrian rue	anadenanthera colubrina	1	2000-10-01	2000
syrian rue	amanitas	1	2000-09-01	2000
syrian rue	cacti	1	2000-06-01	2000
syrian rue	dmt	1	2000-06-01	2000
syrian rue	mimosa tenuiflora	1	2001-09-01	2001
syrian rue	mimosa tenuiflora	1	2001-04-01	2001
syrian rue	mushrooms	1	2001-08-01	2001
syrian rue	mushrooms	1	2001-04-01	2001
syrian rue	cacti	1	2001-10-01	2001
syrian rue	cacti	1	2001-06-01	2001
syrian rue	cannabis	1	2001-06-01	2001
syrian rue	5-meo-dipt	1	2001-06-01	2001
syrian rue	lsd	1	2001-11-01	2001
syrian rue	anadenanthera colubrina	1	2001-08-01	2001
syrian rue	dpt	1	2001-06-01	2001
syrian rue	h.b. woodrose	1	2001-04-01	2001
syrian rue	banisteriopsis caapi	1	2001-04-01	2001
syrian rue	psychotria viridis	1	2001-04-01	2001
syrian rue	diplopterys cabrerana	1	2001-01-01	2001
syrian rue	5-meo-dmt	1	2001-01-01	2001
syrian rue	cannabis	1	2002-05-01	2002
syrian rue	cannabis	1	2002-05-01	2002
syrian rue	cannabis	1	2002-04-01	2002
syrian rue	cannabis	1	2002-02-01	2002
syrian rue	cannabis	1	2002-02-01	2002
syrian rue	cannabis	1	2002-02-01	2002
syrian rue	cannabis	1	2002-01-01	2002
syrian rue	mimosa tenuiflora	1	2002-11-01	2002
syrian rue	mimosa tenuiflora	1	2002-08-01	2002
syrian rue	mimosa tenuiflora	1	2002-08-01	2002
syrian rue	mimosa tenuiflora	1	2002-05-01	2002
syrian rue	mimosa tenuiflora	1	2002-05-01	2002
syrian rue	mimosa tenuiflora	1	2002-05-01	2002
syrian rue	psychotria viridis	1	2002-12-01	2002
syrian rue	psychotria viridis	1	2002-12-01	2002
syrian rue	psychotria viridis	1	2002-11-01	2002
syrian rue	psychotria viridis	1	2002-11-01	2002
syrian rue	psychotria viridis	1	2002-05-01	2002
syrian rue	mushrooms	1	2002-10-01	2002
syrian rue	mushrooms	1	2002-04-01	2002
syrian rue	mushrooms	1	2002-01-01	2002
syrian rue	lsd	1	2002-05-01	2002
syrian rue	lsd	1	2002-02-01	2002
syrian rue	lsd	1	2002-02-01	2002
syrian rue	salvia divinorum	1	2002-12-01	2002
syrian rue	salvia divinorum	1	2002-12-01	2002
syrian rue	salvia divinorum	1	2002-02-01	2002
syrian rue	dpt	1	2002-09-01	2002
syrian rue	dpt	1	2002-02-01	2002
syrian rue	dmt	1	2002-05-01	2002
syrian rue	5-meo-dmt	1	2002-12-01	2002
syrian rue	amanitas	1	2002-05-01	2002
syrian rue	anadenanthera colubrina	1	2002-05-01	2002
syrian rue	banisteriopsis caapi	1	2002-05-01	2002
syrian rue	mimosa tenuiflora	1	2003-12-01	2003
syrian rue	mimosa tenuiflora	1	2003-08-01	2003
syrian rue	mimosa tenuiflora	1	2003-08-01	2003
syrian rue	mimosa tenuiflora	1	2003-04-01	2003
syrian rue	mimosa tenuiflora	1	2003-02-01	2003
syrian rue	anadenanthera spp.	1	2003-07-01	2003
syrian rue	anadenanthera spp.	1	2003-07-01	2003
syrian rue	cacti	1	2003-01-01	2003
syrian rue	cacti	1	2003-01-01	2003
syrian rue	5-meo-dmt	1	2003-02-01	2003
syrian rue	5-meo-dmt	1	2003-01-01	2003
syrian rue	dmt	1	2003-12-01	2003
syrian rue	dmt	1	2003-07-01	2003
syrian rue	oral	1	2003-12-01	2003
syrian rue	oral	1	2003-07-01	2003
syrian rue	psychotria viridis	1	2003-07-01	2003
syrian rue	psychotria viridis	1	2003-06-01	2003
syrian rue	diplopterys cabrerana	1	2003-07-01	2003
syrian rue	5-meo-dipt	1	2003-09-01	2003
syrian rue	acacia	1	2003-08-01	2003
syrian rue	alcohol	1	2003-08-01	2003
syrian rue	mushrooms	1	2003-09-01	2003
syrian rue	banisteriopsis caapi	1	2003-06-01	2003
syrian rue	cannabis	1	2003-02-01	2003
syrian rue	mimosa tenuiflora	1	2004-12-01	2004
syrian rue	mimosa tenuiflora	1	2004-11-01	2004
syrian rue	mimosa tenuiflora	1	2004-11-01	2004
syrian rue	mimosa tenuiflora	1	2004-11-01	2004
syrian rue	mimosa tenuiflora	1	2004-10-01	2004
syrian rue	mimosa tenuiflora	1	2004-10-01	2004
syrian rue	mimosa tenuiflora	1	2004-10-01	2004
syrian rue	mimosa tenuiflora	1	2004-08-01	2004
syrian rue	mimosa tenuiflora	1	2004-08-01	2004
syrian rue	mimosa tenuiflora	1	2004-08-01	2004
syrian rue	mimosa tenuiflora	1	2004-08-01	2004
syrian rue	mimosa tenuiflora	1	2004-07-01	2004
syrian rue	mimosa tenuiflora	1	2004-07-01	2004
syrian rue	mimosa tenuiflora	1	2004-07-01	2004
syrian rue	mimosa tenuiflora	1	2004-06-01	2004
syrian rue	mimosa tenuiflora	1	2004-06-01	2004
syrian rue	cannabis	1	2004-11-01	2004
syrian rue	cannabis	1	2004-08-01	2004
syrian rue	cannabis	1	2004-08-01	2004
syrian rue	cannabis	1	2004-05-01	2004
syrian rue	cannabis	1	2004-03-01	2004
syrian rue	cannabis	1	2004-03-01	2004
syrian rue	cannabis	1	2004-03-01	2004
syrian rue	mushrooms	1	2004-11-01	2004
syrian rue	mushrooms	1	2004-09-01	2004
syrian rue	mushrooms	1	2004-08-01	2004
syrian rue	mushrooms	1	2004-08-01	2004
syrian rue	mushrooms	1	2004-03-01	2004
syrian rue	cacti	1	2004-12-01	2004
syrian rue	cacti	1	2004-08-01	2004
syrian rue	cacti	1	2004-05-01	2004
syrian rue	cacti	1	2004-03-01	2004
syrian rue	5-meo-dmt	1	2004-08-01	2004
syrian rue	5-meo-dmt	1	2004-03-01	2004
syrian rue	5-meo-dmt	1	2004-03-01	2004
syrian rue	banisteriopsis caapi	1	2004-11-01	2004
syrian rue	banisteriopsis caapi	1	2004-07-01	2004
syrian rue	h.b. woodrose	1	2004-11-01	2004
syrian rue	h.b. woodrose	1	2004-03-01	2004
syrian rue	salvia divinorum	1	2004-03-01	2004
syrian rue	salvia divinorum	1	2004-03-01	2004
syrian rue	ayahuasca	1	2004-10-01	2004
syrian rue	diplopterys cabrerana	1	2004-07-01	2004
syrian rue	psychotria viridis	1	2004-05-01	2004
syrian rue	tobacco	1	2004-03-01	2004
syrian rue	mimosa tenuiflora	1	2005-09-01	2005
syrian rue	mimosa tenuiflora	1	2005-09-01	2005
syrian rue	mimosa tenuiflora	1	2005-08-01	2005
syrian rue	mimosa tenuiflora	1	2005-08-01	2005
syrian rue	mimosa tenuiflora	1	2005-05-01	2005
syrian rue	mimosa tenuiflora	1	2005-04-01	2005
syrian rue	mimosa tenuiflora	1	2005-03-01	2005
syrian rue	mimosa tenuiflora	1	2005-03-01	2005
syrian rue	mimosa tenuiflora	1	2005-03-01	2005
syrian rue	mimosa tenuiflora	1	2005-03-01	2005
syrian rue	cannabis	1	2005-10-01	2005
syrian rue	cannabis	1	2005-09-01	2005
syrian rue	cannabis	1	2005-08-01	2005
syrian rue	cannabis	1	2005-08-01	2005
syrian rue	cannabis	1	2005-07-01	2005
syrian rue	cannabis	1	2005-06-01	2005
syrian rue	cannabis	1	2005-03-01	2005
syrian rue	dpt	1	2005-09-01	2005
syrian rue	dpt	1	2005-08-01	2005
syrian rue	dpt	1	2005-02-01	2005
syrian rue	mushrooms	1	2005-08-01	2005
syrian rue	mushrooms	1	2005-08-01	2005
syrian rue	mushrooms	1	2005-06-01	2005
syrian rue	amanitas	1	2005-08-01	2005
syrian rue	amanitas	1	2005-03-01	2005
syrian rue	amanitas	1	2005-03-01	2005
syrian rue	salvia divinorum	1	2005-09-01	2005
syrian rue	salvia divinorum	1	2005-06-01	2005
syrian rue	salvia divinorum	1	2005-03-01	2005
syrian rue	psychotria viridis	1	2005-10-01	2005
syrian rue	psychotria viridis	1	2005-09-01	2005
syrian rue	psychotria viridis	1	2005-03-01	2005
syrian rue	alcohol	1	2005-11-01	2005
syrian rue	alcohol	1	2005-10-01	2005
syrian rue	alcohol	1	2005-08-01	2005
syrian rue	oral	1	2005-11-01	2005
syrian rue	oral	1	2005-09-01	2005
syrian rue	banisteriopsis caapi	1	2005-10-01	2005
syrian rue	banisteriopsis caapi	1	2005-03-01	2005
syrian rue	cacti	1	2005-10-01	2005
syrian rue	cacti	1	2005-08-01	2005
syrian rue	anadenanthera peregrina	1	2005-12-01	2005
syrian rue	anadenanthera peregrina	1	2005-12-01	2005
